Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.273,10.517,10.273,10.413,44724,0
20050228,10.554,10.554,10.292,10.422,47599,0
20050301,10.47,10.554,10.282,10.498,150073,0
20050302,10.573,11.042,10.403,10.854,176343,0
20050303,10.93,10.93,10.432,10.535,51341,0
20050304,10.647,10.75,10.488,10.741,22054,0
20050307,10.864,10.864,10.517,10.601,31528,0
20050308,10.591,10.686,10.526,10.657,57526,0
20050309,10.601,10.647,10.479,10.573,69833,0
20050310,10.583,10.583,10.461,10.498,40720,0
20050311,10.422,10.526,10.339,10.356,42397,0
20050314,10.348,10.488,10.32,10.461,33341,0
20050315,10.554,10.779,10.365,10.432,75698,0
20050316,10.356,10.432,10.356,10.413,28997,0
20050317,10.517,10.779,10.375,10.507,12874,0
20050318,10.62,10.62,10.292,10.365,67697,0
20050321,10.517,10.686,10.282,10.507,163496,0
20050322,10.554,10.573,10.403,10.442,41966,0
20050323,10.394,10.461,10.33,10.33,35570,0
20050324,10.375,10.394,9.992,10.029,160784,0
20050328,10.178,10.32,10.085,10.273,34925,0
20050329,10.273,10.32,9.86,9.953,52359,0
20050330,10.104,10.384,10.104,10.339,32974,0
20050331,10.32,10.33,9.87,10.057,28551,0
20050401,10.085,10.15,9.653,9.691,16667,0
20050404,9.879,9.888,9.2407,9.635,65659,0
20050405,9.503,9.541,9.1749,9.2499,47647,0
20050406,9.3535,9.3722,9.0718,9.0998,71609,0
20050407,9.0718,9.522,8.9779,9.4839,51302,0
20050408,9.625,9.625,9.2782,9.3157,59653,0
20050411,9.3811,9.503,9.3435,9.3623,30087,0
20050412,9.2971,9.3623,9.1561,9.3157,60380,0
20050413,9.1749,9.1749,8.5838,8.7059,54827,0
20050414,8.6965,8.8277,8.6308,8.6496,25248,0
20050415,8.7809,8.7809,8.246,8.3212,28032,0
20050418,8.218,8.34,8.0961,8.1242,46192,0
20050419,8.2085,8.2557,8.0773,8.2085,17363,0
20050420,8.2085,8.2932,7.8145,7.993,52973,0
20050421,8.021,9.0623,8.021,8.8184,191238,0
20050422,8.9122,9.1749,8.6873,8.9029,41277,0
20050425,8.9684,9.222,8.8091,9.222,22689,0
20050426,9.0998,9.513,9.0998,9.391,37126,0
20050427,9.3811,9.672,9.3623,9.541,67159,0
20050428,9.625,9.653,9.3811,9.559,87116,0
20050429,9.513,9.822,9.513,9.822,61452,0
20050502,9.841,9.916,9.644,9.916,74634,0
20050503,9.944,9.944,9.578,9.653,25798,0
20050504,9.653,9.935,9.625,9.87,18138,0
20050505,9.888,9.935,9.822,9.87,16913,0
20050506,9.944,9.953,9.4839,9.513,20628,0
20050509,9.503,9.972,9.503,9.972,16448,0
20050510,9.935,9.935,9.72,9.926,16012,0
20050511,9.812,10.038,9.747,10.029,10856,0
20050512,10.038,10.263,9.879,10.075,32318,0
20050513,10.169,10.169,9.972,10.019,41551,0
20050516,10.048,10.169,10.038,10.122,15027,0
20050517,10.029,10.15,9.944,9.944,14037,0
20050518,10.122,10.356,10.048,10.356,13125,0
20050519,10.207,10.301,10.122,10.226,12330,0
20050520,10.159,10.32,10.075,10.282,10191,0
20050523,10.188,10.32,9.475,9.888,76318,0
20050524,9.897,9.907,9.475,9.774,54180,0
20050525,9.503,9.774,9.4473,9.72,31677,0
20050526,9.72,9.888,9.72,9.888,25107,0
20050527,9.784,9.822,9.663,9.691,37065,0
20050531,9.587,9.926,9.587,9.888,18803,0
20050601,9.803,10.422,9.803,10.413,26645,0
20050602,10.292,10.413,10.273,10.301,26511,0
20050603,10.32,10.554,10.32,10.526,27625,0
20050606,10.384,10.601,10.15,10.236,39959,0
20050607,10.057,10.554,10.057,10.384,20751,0
20050608,10.273,10.488,10.273,10.292,20292,0
20050609,10.32,10.32,10.217,10.311,13020,0
20050610,10.384,10.61,10.384,10.554,15616,0
20050613,10.413,10.835,10.413,10.676,26237,0
20050614,10.629,10.667,10.554,10.667,16423,0
20050615,10.451,10.713,10.451,10.713,21197,0
20050616,10.723,11.174,10.554,11.174,25991,0
20050617,11.089,11.512,11.07,11.267,58824,0
20050620,11.164,11.304,10.985,11.258,115882,0
20050621,11.248,11.267,11.042,11.126,25819,0
20050622,10.947,11.342,10.705,11.304,35300,0
20050623,11.174,11.351,10.994,11.174,22632,0
20050624,11.07,11.399,11.07,11.248,122695,0
20050627,11.229,11.399,10.902,11.277,20480,0
20050628,11.408,11.98,11.248,11.98,30462,0
20050629,11.876,12.056,11.595,11.783,45790,0
20050630,11.811,12.065,11.586,11.605,13572,0
20050701,11.408,11.426,11.07,11.182,15841,0
20050705,11.135,12.046,11.07,12.046,22922,0
20050706,11.952,12.327,11.905,12.186,27231,0
20050707,12.148,12.327,12.148,12.29,19963,0
20050708,12.075,12.739,11.99,12.701,50113,0
20050711,12.73,13.482,12.73,13.415,53939,0
20050712,13.387,13.482,13.105,13.368,44028,0
20050713,13.378,13.406,13.153,13.265,42742,0
20050714,13.359,13.368,13.19,13.209,35536,0
20050715,13.068,13.228,13.059,13.134,28560,0
20050718,13.041,13.134,12.946,13.078,31389,0
20050719,13.18,13.18,12.918,13.059,21644,0
20050720,12.918,13.509,12.693,13.368,20934,0
20050721,13.444,13.444,12.806,13.002,17601,0
20050722,12.862,12.936,12.72,12.928,9139,0
20050725,12.956,12.993,12.853,12.909,16596,0
20050726,12.843,13.143,12.843,13.115,12377,0
20050727,12.983,12.983,12.599,12.609,32468,0
20050728,12.571,13.444,12.252,13.387,44283,0
20050729,13.33,13.434,12.993,12.993,17245,0
20050801,12.993,12.993,12.392,12.477,29161,0
20050802,12.364,12.71,12.364,12.71,22485,0
20050803,12.628,12.749,12.384,12.459,22758,0
20050804,10.976,11.811,10.647,11.802,94338,0
20050805,11.661,11.717,11.445,11.605,21725,0
20050808,11.764,11.764,11.258,11.304,27401,0
