Date,Open,High,Low,Close,Volume,OpenInt
20150102,2.75,2.75,2.75,2.75,1000,0
20150109,2.75,2.75,2.75,2.75,500,0
20150112,2.75,2.75,2.75,2.75,1000,0
20150121,2.76,2.76,2.76,2.76,1500,0
20150129,2.8,2.8,2.8,2.8,1500,0
20150211,2.8,2.85,2.8,2.85,9000,0
20150217,2.85,2.85,2.85,2.85,2000,0
20150218,3,3,3,3,5000,0
20150219,3.2,3.2,3.2,3.2,100,0
20150226,3.25,3.25,3.25,3.25,250,0
20150305,3.16,3.16,3.16,3.16,1500,0
20150309,3.152,3.25,3.152,3.25,3300,0
20150310,3.2,3.2,3.2,3.2,150,0
20150311,3,3,3,3,1000,0
20150317,3.2,3.2,3.2,3.2,500,0
20150323,3.2,3.2,3.2,3.2,1000,0
20150330,3.2,3.2,3.2,3.2,500,0
20150401,3.2,3.2,3.2,3.2,2000,0
20150409,3.2,3.2,3.2,3.2,3100,0
20150410,3.25,3.49,3.2,3.45,8752,0
20150413,3.45,3.65,3.43,3.65,106568,0
20150414,3.73,3.73,3.5,3.5,570,0
20150415,3.6,3.75,3.6,3.75,2450,0
20150416,3.8,3.8,3.735,3.735,10316,0
20150417,3.75,3.75,3.75,3.75,1011,0
20150420,3.75,3.75,3.5,3.5,2120,0
20150421,3.25,3.4,3.01,3.4,3920,0
20150422,3.26,3.26,2.51,2.99,19240,0
20150424,2.99,2.99,2.99,2.99,250,0
20150427,2.99,3,2,2.95,7256,0
20150428,2.8,2.96,2.8,2.96,320,0
20150429,3.2,3.2,3.2,3.2,100,0
20150430,3,3,3,3,600,0
20150501,2.8,2.89,2.8,2.89,600,0
20150504,2.8,2.8,2.8,2.8,500,0
20150505,2.75,2.835,2.745,2.745,22575,0
20150506,2.7,2.8,2.7,2.8,5100,0
20150507,2.57,3,2.56,2.65,6000,0
20150512,3,4.25,2.8,2.8,16210,0
20150513,3,3.5,3,3.01,9900,0
20150514,2.92,3.47,2.92,2.92,7650,0
20150515,2.983,2.99,2.983,2.99,500,0
20150518,2.98,3,2.98,3,2200,0
20150519,3.25,3.25,3.05,3.1,1810,0
20150520,3.126,3.25,3.12,3.2,3985,0
20150521,3.25,3.25,3.16,3.25,5280,0
20150522,3.25,3.25,3.1,3.1,26401,0
20150526,3.25,3.25,3.15,3.15,7810,0
20150527,3.15,3.15,2.91,3,6600,0
20150528,3,3.24,2.897,3,8990,0
20150529,3.15,3.15,3.1,3.1,1515,0
20150601,3.05,3.05,2.88,3,5600,0
20150604,2.86,2.98,2.86,2.97,13800,0
20150605,2.97,3.05,2.97,3.01,26122,0
20150608,3.01,3.12,3,3.085,10301,0
20150609,3,3.1,3,3.06,2200,0
20150610,3.08,3.09,3.08,3.09,1700,0
20150611,3.1,3.3,3.1,3.21,37060,0
20150612,3.21,3.21,3.21,3.21,1172,0
20150615,3.06,3.18,3.06,3.18,1115,0
20150616,3.18,3.29,3.05,3.12,4129,0
20150617,3.1,3.55,3.1,3.45,36988,0
20150618,3.94,4,3.3,3.4,10910,0
20150619,3.4,3.9,3.395,3.85,71314,0
20150622,3.9,4.2,3.72,4,237766,0
20150623,4.075,4.31,3.86,4.2,262821,0
20150624,4.24,4.39,4.15,4.15,110037,0
20150625,4.1,4.15,3.95,3.98,36508,0
20150626,3.6,4.4,3.25,3.26,70500,0
20150629,3.25,3.97,3.22,3.26,18000,0
20150630,2.75,2.75,2.6,2.75,1203230,0
20150701,2.75,2.85,2.55,2.74,232518,0
20150702,2.74,2.75,2.55,2.75,157600,0
20150706,2.61,2.67,2.4,2.53,312100,0
20150707,2.58,2.65,2.5,2.65,121800,0
20150708,2.65,2.65,2.43,2.5,102000,0
20150709,2.57,2.57,2.48,2.51,47800,0
20150710,2.65,2.65,2.47,2.65,103000,0
20150713,2.65,2.66,2.5,2.58,95100,0
20150714,2.63,2.7,2.55,2.61,333615,0
20150715,2.64,2.75,2.55,2.55,905903,0
20150716,2.64,2.75,2.57,2.65,602400,0
20150717,2.75,2.75,2.68,2.72,480600,0
20150720,2.71,2.75,2.63,2.69,277600,0
20150721,2.72,2.89,2.66,2.7,784200,0
20150722,2.89,2.9,2.7,2.81,1452600,0
20150723,2.9,3.09,2.79,2.79,1570400,0
20150724,2.79,3.01,2.64,2.95,959100,0
20150727,3.1,3.5,3.08,3.19,1691700,0
20150728,3.27,3.3,3.06,3.2,656900,0
20150729,3.23,3.28,3.01,3.07,447800,0
20150730,3.1,3.1,2.96,3.06,259400,0
20150731,3.2,3.23,3.05,3.2,337900,0
20150803,3.13,3.229,2.88,3.17,213138,0
20150804,3.11,3.34,3.1,3.2,247700,0
20150805,3.23,3.58,3.15,3.38,716600,0
20150806,3.36,3.7,3.34,3.59,459803,0
20150807,3.58,3.58,3.25,3.37,323100,0
