Date,Open,High,Low,Close,Volume,OpenInt
20151030,0.14,0.14,0.09,0.09,110300,0
20151102,0.1,0.1,0.1,0.1,10000,0
20151103,0.08,0.08,0.08,0.08,20000,0
20151105,0.09,0.09,0.09,0.09,10000,0
20151106,0.08,0.1,0.08,0.08,114600,0
20151113,0.08,0.08,0.08,0.08,85000,0
20151116,0.08,0.08,0.08,0.08,25000,0
20151117,0.08,0.08,0.08,0.08,77600,0
20151130,0.12,0.12,0.12,0.12,1100,0
20151201,0.099,0.099,0.0846,0.09,11670,0
20151209,0.09,0.09,0.07,0.09,177900,0
20151214,0.085,0.085,0.085,0.085,100,0
20151215,0.09,0.09,0.09,0.09,500,0
20151222,0.08,0.08,0.08,0.08,3100,0
20151229,0.085,0.085,0.085,0.085,1400,0
20160104,0.085,0.0851,0.0805,0.0851,670,0
20160112,0.09,0.09,0.09,0.09,40400,0
20160113,0.09,0.09,0.09,0.09,17500,0
20160128,0.0902,0.0902,0.0902,0.0902,3000,0
20160208,0.0912,0.0912,0.0912,0.0912,9900,0
20160209,0.0911,0.0911,0.0911,0.0911,10000,0
20160210,0.0912,0.104,0.06,0.104,9120,0
20160211,0.0905,0.104,0.09,0.09,51600,0
20160216,0.0877,0.0877,0.0877,0.0877,5555,0
20160217,0.08,0.08,0.08,0.08,1000,0
20160219,0.08,0.09,0.08,0.09,300,0
20160222,0.07,0.09,0.07,0.09,600,0
20160223,0.0702,0.09,0.0701,0.09,4500,0
20160224,0.07,0.09,0.0606,0.07,26700,0
20160225,0.08,0.08,0.0701,0.0701,1400,0
20160226,0.08,0.08,0.08,0.08,300,0
20160229,0.09,0.09,0.09,0.09,200,0
20160301,0.09,0.09,0.09,0.09,200,0
20160308,0.0701,0.077,0.06,0.077,5482,0
20160310,0.0701,0.0701,0.0701,0.0701,4418,0
20160314,0.0701,0.0701,0.07,0.0701,20800,0
20160321,0.076,0.076,0.07,0.0701,5080,0
20160324,0.075,0.075,0.0701,0.0701,2000,0
20160330,0.085,0.09,0.085,0.09,64000,0
20160401,0.0874,0.0874,0.0874,0.0874,200,0
20160404,0.085,0.085,0.08,0.08,1500,0
20160411,0.0801,0.0801,0.08,0.08,9600,0
20160413,0.0701,0.08,0.07,0.07,212400,0
20160414,0.099,0.0999,0.093,0.0999,550,0
20160415,0.099,0.099,0.099,0.099,200,0
20160418,0.099,0.099,0.0908,0.0908,2200,0
20160419,0.099,0.099,0.099,0.099,100,0
20160420,0.09,0.099,0.09,0.099,300,0
20160421,0.099,0.099,0.099,0.099,100,0
20160422,0.099,0.099,0.099,0.099,100,0
