Date,Open,High,Low,Close,Volume,OpenInt
20120913,6,6,4.04,4.92,27028,0
20120914,4.76,6,4.6,4.7196,17565,0
20120917,4.8,5.4,4.4,4.52,7750,0
20120918,4.4404,4.8,4.3196,4.48,9091,0
20120919,4.4,4.6732,4.2,4.5624,4688,0
20120920,4.24,4.48,4.2,4.44,2760,0
20120921,4.2452,4.2452,4,4,4469,0
20120924,4.2,4.2,4,4,2613,0
20120925,4.2,4.32,4,4,2208,0
20120926,4.2,4.2004,3.7196,3.904,3962,0
20120927,4.182,4.182,3.64,3.6504,4049,0
20120928,4,4.16,3.44,3.44,4627,0
20121001,3.128,3.36,3.12,3.164,8237,0
20121002,3.88,4.08,3.4004,3.736,5203,0
20121003,3.412,3.4272,3.412,3.424,1150,0
20121004,3.4484,3.7796,3.4484,3.48,3707,0
20121005,3.4804,3.4864,3.48,3.4844,561,0
20121008,3.4804,3.4844,3.2396,3.24,9025,0
20121010,3.24,3.392,3,3.352,6452,0
20121011,3,3.28,3,3.28,790,0
20121012,3.592,4.48,3.12,3.9596,9763,0
20121015,3.88,3.88,3.28,3.8304,1135,0
20121016,3.44,3.5472,3.44,3.48,1783,0
20121017,3.24,4.48,3.0004,4.04,8284,0
20121018,4.4,4.6004,4.2004,4.2004,9462,0
20121019,4.52,4.6,3.72,3.7348,2894,0
20121022,4.28,4.28,4.04,4.04,607,0
20121023,4.04,4.28,3.5268,3.8,700,0
20121024,3.6,3.6,3.6,3.6,692,0
20121025,3.7996,3.7996,3.52,3.56,2485,0
20121026,3.4,3.4004,3.4,3.4004,68,0
20121101,3.4,4.8,3.4,4.4004,5601,0
20121102,4.6,5.3932,3.64,3.68,12984,0
20121105,3.5604,3.8404,3.44,3.6,1874,0
20121106,3.8004,4,3.5204,3.5204,2567,0
20121107,3.5604,3.5604,3.16,3.52,3696,0
20121108,3.96,4,3.8,4,970,0
20121109,3.8196,4.12,3.6,4.0256,1318,0
20121112,3.6,3.6,3.6,3.6,175,0
20121113,4.2,4.2,3.6,4,1435,0
20121114,3.56,4.6,3.56,4.12,7242,0
20121115,4.08,8.32,4,7.4,238960,0
20121116,7.92,9.2,5.6,5.84,132025,0
20121119,5.44,5.8,4.48,4.8,47256,0
20121120,5.32,5.76,4.66,5.6,40093,0
20121121,5.52,6.16,5,5.12,46428,0
20121123,5,5.28,4.32,4.72,21133,0
20121126,4.72,4.72,4.24,4.28,3854,0
20121127,4.28,4.52,4.28,4.32,4361,0
20121128,4.2804,4.48,4.28,4.4368,4573,0
20121129,4.4408,4.594,4.4,4.414,1501,0
20121130,4.4,4.4,4.28,4.28,3389,0
20121203,4.6,5.12,4.56,4.68,14455,0
20121204,4.4804,5.0396,4.4,4.76,2138,0
20121205,4.6,4.8,4.28,4.3968,1136,0
20121206,4.4,4.44,4.28,4.28,2638,0
20121207,4.32,4.32,4,4.16,4048,0
20121210,4.48,4.92,4.2,4.32,1814,0
20121211,4.36,4.88,4,4.32,951,0
20121212,4,4.48,4,4.1204,2314,0
20121213,4,4.3,4,4.12,1500,0
20121214,4.04,4.12,4,4,4704,0
20121217,4.0004,4.016,4,4.006,2396,0
20121218,4,4.4,3.64,3.7604,3939,0
20121219,3.84,4.32,3.84,3.92,2300,0
