Date,Open,High,Low,Close,Volume,OpenInt
20121226,7.1,7.2,6.76,6.8,256359,0
20121227,6.75,7.05,6.7,6.9,159164,0
20121228,6.73,6.94,6.6,6.87,712659,0
20121231,6.95,7.33,6.87,7.33,283333,0
20130102,7.5,7.5,6.7,7,362820,0
20130103,6.92,7.1,6.75,6.83,222985,0
20130104,6.65,6.71,6.5,6.55,329835,0
20130107,6.5,6.6,6.18,6.29,390269,0
20130108,6.07,6.24,6,6,392758,0
20130109,6.01,6.18,5.985,6.04,196235,0
20130110,5.91,6.23,5.89,6.1,690314,0
20130111,5.76,6.49,5.76,6.43,554985,0
20130114,6.25,6.59,6.25,6.46,274866,0
20130115,6.46,6.48,6.07,6.26,276397,0
20130116,6.03,6.3,5.9,5.97,305740,0
20130117,5.95,6.26,5.81,5.84,172329,0
20130118,5.64,6.16,5.64,6.14,146015,0
20130122,5.96,6.08,5.82,5.96,80436,0
20130123,6.14,6.2,5.81,6.01,125600,0
20130124,5.88,6.2,5.88,6,40989,0
20130125,5.89,6.25,5.87,6.11,54600,0
20130128,6.27,6.28,5.97,6.05,201073,0
20130129,6,6.24,6,6.13,13821,0
20130130,6.24,6.26,6.05,6.05,17582,0
20130131,6.02,6.24,6,6.01,242359,0
20130201,6.01,6.74,5.9,6.44,78422,0
20130204,6.5,6.7,6.28,6.63,31089,0
20130205,6.56,6.68,6.47,6.51,46515,0
20130206,6.5,6.74,6.34,6.7,50587,0
20130207,6.61,6.89,6.35,6.62,23253,0
20130208,7,7,6.26,6.27,39385,0
20130211,6.35,6.56,6.03,6.07,33671,0
20130212,6.05,6.24,6.02,6.24,30779,0
20130213,6.08,6.22,6,6.05,236287,0
20130214,6.02,6.3,6.02,6.22,40392,0
20130215,6.17,6.31,6.01,6.01,106147,0
20130219,6.16,6.16,6,6.1,131289,0
20130220,6.05,6.45,6.02,6.24,59965,0
20130221,6.07,6.49,6.07,6.33,44391,0
20130222,6.48,6.68,6.37,6.57,59873,0
20130225,6.56,6.6,6.4,6.5,56933,0
20130226,6.22,6.57,6.22,6.55,18058,0
20130227,6.41,6.54,6.33,6.48,28878,0
20130228,6.48,6.6,6.16,6.17,180063,0
20130301,6.1,6.42,6.1,6.18,40399,0
20130304,6.19,6.44,6.19,6.44,22510,0
20130305,6.37,6.5492,6.25,6.25,13994,0
20130306,6.5,6.5,6.21,6.28,28138,0
20130307,6.3,6.51,6.27,6.51,79862,0
20130308,6.33,6.529,6.285,6.41,13389,0
20130311,6.41,6.64,6.41,6.56,42931,0
20130312,6.5,6.6,6.5,6.6,14209,0
20130313,6.52,6.64,6.52,6.57,23500,0
20130314,6.58,6.63,6.53,6.62,13066,0
20130315,6.035,6.56,6.035,6.44,111479,0
20130318,6.41,6.65,6.41,6.65,11832,0
20130319,6.61,6.61,6.44,6.45,13266,0
20130320,6.42,6.65,6.41,6.57,17322,0
20130321,6.6,6.79,6.43,6.78,317789,0
20130322,6.72,6.72,6.59,6.64,9663,0
20130325,6.63,6.729,6.5,6.5,5209,0
20130326,6.53,6.68,6.51,6.59,8082,0
20130327,6.58,6.68,6.49,6.635,36352,0
