Date,Open,High,Low,Close,Volume,OpenInt
20130212,9.25,9.6,8.601,9.3,12395,0
20130213,9.5,9.6,8.75,9.24,14225,0
20130214,9.25,9.25,8.8,8.9001,9822,0
20130215,9,9,8.7535,8.87,2981,0
20130219,9.55,9.6,9.1,9.6,27924,0
20130220,9.6,9.61,8.05,8.4,31349,0
20130221,8.7,9.2,8.5,9,10124,0
20130222,9.2,9.2,8.54,8.75,5287,0
20130225,8.26,9.104,8.26,8.75,13540,0
20130226,8.5,8.7,8.5,8.61,2326,0
20130227,8.94,9.1,8.8,8.8,7910,0
20130228,9.2,9.2,8.989,9,20025,0
20130301,9.14,9.14,9,9.02,2286,0
20130304,9.02,9.4899,9.02,9.02,5454,0
20130305,9.4,9.6,9.3,9.3559,25865,0
20130306,9.5,9.5,9.05,9.2,14634,0
20130307,9.5,9.5,9.2,9.2,4220,0
20130308,9.2,9.41,8.5,8.5,21959,0
20130311,8.55,8.99,8.52,8.99,11825,0
20130312,9.25,9.25,8.6,8.61,7660,0
20130313,8.75,8.8,8.65,8.68,3900,0
20130314,8.65,8.8,8.5,8.5,8995,0
20130315,8.78,8.78,8.5201,8.5201,1500,0
20130318,8.5999,8.8,8.5999,8.769,6462,0
20130319,8.76,8.76,8.6,8.6001,3450,0
20130320,8.54,8.74,8.51,8.51,5529,0
20130321,8.51,8.74,8.5,8.5335,1400,0
20130322,8.57,8.73,8.57,8.71,1500,0
20130325,8.79,8.79,8.5,8.5,8410,0
20130326,8.77,8.77,8.5,8.5,4124,0
20130327,8.62,8.6999,8.526,8.6999,826,0
20130328,8.51,8.6,8.51,8.6,6221,0
20130401,8.66,8.74,8.51,8.6932,6813,0
20130402,8.65,8.689,8.5,8.5608,7843,0
20130403,8.5999,8.77,8.5999,8.65,8563,0
20130404,8.7,8.75,8.25,8.31,9443,0
20130405,8.26,8.6,8.26,8.59,4803,0
20130408,8.68,8.68,8.32,8.36,3407,0
20130409,8.3601,8.66,8.36,8.3601,17504,0
20130410,8.37,8.37,8,8.16,16285,0
20130411,8.2,8.2,8.0236,8.1499,6763,0
20130412,8.01,8.02,7.7,7.88,8447,0
20130415,7.75,7.75,6.8,6.96,12213,0
20130416,7,7.1799,6.9,6.91,17704,0
20130417,6.72,6.9,6.6,6.6,3681,0
