Date,Open,High,Low,Close,Volume,OpenInt
20140417,12.25,12.49,11.85,12,998686,0
20140421,12.11,12.5,12,12.1,51785,0
20140422,12,12.32,12,12.32,36878,0
20140423,12.3,12.3,12.05,12.25,41994,0
20140424,12.75,12.75,12,12.28,33439,0
20140425,12.15,12.39,12.01,12.39,18445,0
20140428,12.35,12.59,12.2,12.57,46502,0
20140429,12.75,13,12.2,12.95,237775,0
20140430,12.62,13,12.5,13,59037,0
20140501,12.9,12.95,12.19,12.35,272629,0
20140502,12.35,12.38,10.72,11.21,108333,0
20140505,11.51,12.59,10.66,12.1,105814,0
20140506,12.16,12.8,11.71,11.8,30791,0
20140507,11.82,12.29,11.82,12.28,10896,0
20140508,12.32,12.49,12.25,12.34,21284,0
20140509,12.35,12.5,12.07,12.5,15066,0
20140512,12.39,12.5,12,12.49,23170,0
20140513,12.54,12.54,12.361,12.39,10131,0
20140514,12.48,12.55,12.35,12.47,48636,0
20140515,12.36,12.44,12.06,12.18,27007,0
20140516,12.16,12.47,12.15,12.38,5103,0
20140519,12.34,12.38,12.04,12.17,5182,0
20140520,12.08,12.14,12,12.14,14878,0
20140521,12,12.69,12,12.21,24670,0
20140522,12.14,12.61,12.03,12.5,24838,0
20140523,12.06,12.73,12.06,12.55,39705,0
20140527,12.69,12.8,12,12.04,46497,0
20140528,12.12,12.49,11.66,11.71,51066,0
20140529,11.8,12.61,11.8,12.03,17439,0
20140530,11.96,12.39,11.75,12,26030,0
20140602,12.3,13.14,11.97,12.7,51107,0
20140603,12.81,14.5,12.81,13.97,44232,0
20140604,14,14.07,13.24,14.01,21177,0
20140605,13.99,19.36,13.99,17.7,141219,0
20140606,19,19,15.78,18.33,81741,0
20140609,16.21,19.8,16.21,19.6,67846,0
20140610,19.31,24.4,19.31,23.75,102200,0
20140611,24.2,29.99,23.88,28.66,270917,0
20140612,30.5,34.94,26.5,32.11,253381,0
20140613,34.48,35.2,30.124,32.14,325954,0
20140616,32.57,35.01,29.61,33.31,144057,0
20140617,32.88,34.99,30.8,32.41,89943,0
20140618,32.06,33.49,30.16,30.52,94035,0
20140619,30.99,31.1,23.27,23.49,182517,0
20140620,23.6,27.02,23.4,26.33,147165,0
20140623,26.49,30.2,25.51,29.1,88999,0
20140624,28.73,29.5,26,28.22,73249,0
20140625,28,29,27.28,27.5,38941,0
20140626,27.09,28.2,26.7,27.83,44633,0
20140627,28.31,29.04,28,28.15,714994,0
20140630,28.89,32.72,26,27.24,118378,0
20140701,27.27,27.95,24.55,25.74,77866,0
20140702,25.44,27.49,25.44,27.25,28000,0
20140703,27.5,27.9,26.81,27.22,11820,0
20140707,26.99,26.99,23.8,24.1,68233,0
20140708,23.77,25.38,23.452,24.2,35836,0
20140709,24.11,25.5,24.11,25.17,13061,0
20140710,22.63,25,22.63,23.88,22865,0
20140711,23.75,24.5,22.78,23.52,17076,0
20140714,24.62,27.1,23.521,25.65,79901,0
20140715,25.65,26.42,24.922,25.34,30732,0
20140716,25.53,27.37,25.43,27,45351,0
20140717,27.06,27.75,26.42,27.15,51235,0
20140718,26.98,27.75,26.46,27.71,20974,0
20140721,28.36,28.36,26.7,27.27,30841,0
20140722,27.25,27.25,26.003,26.71,10290,0
20140723,26.79,26.79,24.52,25.01,46466,0
20140724,24.91,26.333,24.91,25.79,23591,0
20140725,26.17,27,24.49,24.95,35094,0
20140728,25,25.85,23.77,25.71,12104,0
20140729,26,26,24.66,24.66,6631,0
20140730,24.99,25.94,24.413,24.81,13451,0
20140731,24.53,24.95,22.56,22.9,40776,0
20140801,22.51,23.96,22.5,22.77,22616,0
20140804,22.92,23.47,22.55,22.91,10412,0
20140805,22.85,24.02,22.5,22.63,7422,0
20140806,22.97,23.122,21.65,21.9,12535,0
20140807,21.91,22.505,20.27,21.01,22087,0
20140808,20.71,22.76,20.7,22.28,21066,0
20140811,22.26,23.84,21.51,23.31,9066,0
20140812,23.52,23.52,22.33,23.19,14122,0
20140813,23.75,24.87,23.7,24.48,18903,0
20140814,24.35,24.89,24,24.89,4252,0
20140815,24.62,25.45,24.61,25,10117,0
20140818,25.5,26.28,25.22,25.94,19472,0
20140819,25.94,25.95,25.52,25.9,5066,0
20140820,25.909,25.94,24.97,25.06,4442,0
20140821,24.89,25.368,24.02,24.35,9472,0
20140822,24.53,24.53,22.85,23.34,15100,0
20140825,23.09,24.33,23.09,24.04,9095,0
20140826,23.87,26.49,23.87,25.05,26149,0
20140827,25.68,25.75,24.52,24.83,4524,0
20140828,24.64,24.818,24.4,24.57,3606,0
20140829,23.89,24.57,23.5,23.98,5507,0
20140902,23.88,24.83,22.71,22.94,15562,0
20140903,23.32,24.89,22.66,23.06,9521,0
20140904,23.01,23.648,22.61,23.31,10286,0
20140905,23.22,23.74,22.79,22.88,6445,0
20140908,22.62,23.59,22.19,22.78,8499,0
20140909,22.88,23.39,22.34,23.01,28978,0
20140910,23.1,24.19,23.1,23.89,19065,0
20140911,23.6,24.42,23.6,24.11,8956,0
20140912,24.31,24.5,23.25,23.25,13576,0
20140915,23.84,23.84,22.72,22.73,5007,0
20140916,22.931,23.12,21.581,21.81,18283,0
20140917,23.13,23.17,21.01,21.36,14658,0
20140918,21.13,21.65,21,21.12,13759,0
20140919,21.04,22.44,20.11,20.11,27796,0
20140922,20.13,20.4,17.62,18.275,73237,0
20140923,18.03,19.14,16.8,17.05,43331,0
20140924,16.93,17.95,16.85,17.93,34628,0
20140925,18.45,18.77,17.76,18.45,39417,0
20140926,18.64,19.24,17.86,19.17,16681,0
20140929,18.71,20.95,18.71,20.08,39676,0
20140930,20,21.44,19.796,20.41,36058,0
20141001,20.05,20.85,18.63,18.96,58370,0
20141002,18.75,18.75,17.6,18.02,94466,0
20141003,17.26,17.49,15.62,16.88,531690,0
20141006,17.01,17.05,16.75,17.04,125167,0
20141007,16.9,17.05,16.6,16.75,103229,0
20141008,16.7,16.85,15.87,15.97,154570,0
20141009,16.57,16.57,15,15.18,114093,0
20141010,15.24,15.68,13.41,13.58,128243,0
