Date,Open,High,Low,Close,Volume,OpenInt
20050225,49.01,49.17,48.48,49.05,77700,0
20050228,49.01,49.5,48.51,48.91,129600,0
20050301,49.46,49.7,49.01,49.6,92500,0
20050302,49.61,49.9,49.26,49.59,67700,0
20050303,49.69,50.41,49.52,49.79,217100,0
20050304,49.99,49.99,49.18,49.52,92600,0
20050307,50.25,50.35,49.5,49.51,72100,0
20050308,49.7,49.7,48.51,48.51,143800,0
20050309,48.76,48.76,47.33,48.2,137200,0
20050310,48.1,48.25,47.69,48,97700,0
20050311,48,48,47.55,47.9,44800,0
20050314,47.9,48,47.47,47.66,75200,0
20050315,47.88,48.01,47.02,47.83,124000,0
20050316,47.6,47.99,47.09,47.63,63800,0
20050317,47.4,47.98,46.54,47.06,150800,0
20050318,47,48.01,46.9,47.95,215100,0
20050321,47.95,48.33,47.65,47.88,71000,0
20050322,47.88,48.68,47.75,48,63600,0
20050323,47.76,47.95,47.05,47.12,64000,0
20050324,47.35,48.14,47.34,47.56,79400,0
20050328,47.55,48.82,47.55,48.7,71600,0
20050329,48.68,49.27,48.01,48.41,65800,0
20050330,48.65,48.73,47.36,48.51,84500,0
20050331,48.51,48.97,48.4,48.71,111400,0
20050401,48.95,49.41,48.71,48.71,74300,0
20050404,48.21,49.28,48.07,49.05,33400,0
20050405,49,50,49,50,90100,0
20050406,50,50.59,49.94,50.05,75000,0
20050407,50,50.42,50,50.38,38600,0
20050408,50.38,50.48,50.24,50.36,52500,0
20050411,50.2,50.3,50.06,50.08,53400,0
20050412,50.07,50.37,49.91,50.05,109500,0
20050413,50.04,50.43,50,50.05,74300,0
20050414,50.05,50.4,50,50.01,66000,0
20050415,50.25,50.49,49.35,49.6,104500,0
20050418,49.8,50.5,49.55,49.8,62600,0
20050419,50.29,50.66,49.98,50.06,83300,0
20050420,50.06,50.41,49.43,49.73,94300,0
20050421,50.16,50.62,49.86,50.1,51500,0
20050422,50.15,50.15,49.1,49.94,69100,0
20050425,49.99,50.51,49.83,50.26,28200,0
20050426,50.01,50.05,49.09,49.21,91400,0
20050427,48.65,49.22,48.65,48.83,93900,0
20050428,49.03,49.03,47.2,47.2,107000,0
20050429,47.45,48.44,47.31,48.34,74500,0
20050502,48.8,49.83,48.42,48.88,37300,0
20050503,49,49.64,48.02,49.62,53900,0
20050504,49.62,49.9,49.11,49.44,79300,0
20050505,49.55,49.68,48.65,48.96,66900,0
20050506,50.7,53.51,49.95,52.8,237500,0
20050509,52.95,53.2,52.29,52.69,125900,0
20050510,52.84,53.83,52.27,52.58,96200,0
20050511,52.4,52.84,51.85,52.49,74500,0
20050512,52.35,52.86,51.01,52.14,132000,0
20050513,52.14,52.75,51.47,52.2,140400,0
20050516,52.23,52.73,52.13,52.32,90100,0
20050517,52.07,52.6,51.73,51.91,61200,0
20050518,52.25,52.3,51.75,52.23,110000,0
20050519,52.74,53.59,52.73,53.21,81600,0
20050520,53.29,53.29,52.59,53,106500,0
20050523,52.75,53.05,52.61,52.77,165600,0
20050524,52.77,52.82,52.55,52.55,94900,0
20050525,52.55,52.55,51.51,52.37,103400,0
20050526,52.45,53.47,52.1,53.1,100300,0
20050527,53,53.34,52.82,53.32,133500,0
20050531,53.83,54.49,53.73,53.88,100100,0
20050601,53.88,55.45,53.88,54.94,66800,0
20050602,54.94,55.46,54.33,54.85,33300,0
20050603,55.1,55.31,53.21,53.78,58800,0
20050606,54.03,55.94,54.03,55.84,105700,0
20050607,55.8,56.75,55.8,56.4,130800,0
20050608,56.41,57.09,56.05,56.21,40600,0
20050609,56,57.25,56,56.97,55300,0
20050610,56.97,57.33,56.64,57.2,70500,0
20050613,57.8,59,57.34,57.35,194600,0
20050614,57.48,57.53,57.02,57.27,130500,0
20050615,57.02,57.32,56.53,57.22,110800,0
20050616,57.27,58,57.27,58,85600,0
20050617,58,58.17,57.61,57.63,82700,0
20050620,57.88,57.97,57.26,57.37,65400,0
20050621,57.49,57.66,57.4,57.54,30000,0
20050622,57.67,57.8,57.02,57.6,77400,0
20050623,57.59,57.87,57.31,57.4,33000,0
20050624,57.16,58.3,57.13,58.3,141900,0
20050627,58.21,58.25,57.85,58.23,124600,0
20050628,58.23,59.43,58.16,59.39,70000,0
20050629,59.25,59.9,59.07,59.6,88300,0
20050630,59.65,59.77,59.14,59.21,57100,0
20050701,59.2,59.2,58.85,59,45700,0
20050705,58.5,58.93,58.41,58.85,132700,0
20050706,58.85,59.03,57.9,58,38500,0
20050707,57.9,58.5,57.61,58.48,84900,0
20050708,58.25,59.89,58.13,59.74,79800,0
20050711,59.6,59.8,59.35,59.74,53400,0
20050712,59.97,60.5,59.76,59.8,83000,0
20050713,59.81,59.99,59.37,59.98,46000,0
20050714,59.7,59.99,58.85,59.12,31000,0
20050715,58.48,59.39,58.1,59.09,19600,0
20050718,59.09,59.76,58.11,58.29,29900,0
20050719,58.49,59.45,58.21,58.46,28800,0
20050720,58.4,59.81,58.4,59.29,38100,0
20050721,58.75,59.48,58.03,58.2,29700,0
20050722,58.65,59.61,58.2,59.61,26800,0
20050725,59.49,59.8,58.54,58.7,26800,0
20050726,58.6,59.34,58.52,59.2,23500,0
20050727,59.2,59.77,58.7,59.3,41300,0
20050728,59.2,60.21,59.2,60.21,73000,0
20050729,59.8,60.2,59.75,60.03,82500,0
20050801,59.95,61.66,59.95,61.47,41900,0
20050802,61.6,62.52,61.6,62.52,68100,0
20050803,62.27,62.58,60.9,62.5,54800,0
20050804,62.25,62.38,61.71,62.05,108100,0
20050805,59.2,59.83,57.23,57.69,344800,0
20050808,57.6,57.6,55.42,55.78,164900,0
20050809,55.58,55.9,55.41,55.75,87400,0
20050810,55.75,56.2,55.7,56.04,90300,0
20050811,56,56.4,55.9,56.39,78700,0
20050812,55.59,56.99,55.5,56.81,147700,0
20050815,56.8,57,55.9,56.65,39700,0
20050816,56.5,56.5,55.45,55.62,38900,0
20050817,55.87,56.2,55.1,55.19,45200,0
20050818,54.6,55.25,54.36,55.19,39200,0
20050819,55.1,55.1,54.54,54.86,21800,0
20050822,55.08,55.62,54.42,55,35600,0
20050823,54.9,55.43,54.01,54.53,30200,0
20050824,54.29,55.88,54.17,54.82,23400,0
20050825,54.95,55.71,54.95,55.66,73900,0
20050826,55.41,55.41,54.32,54.46,29000,0
20050829,54.21,56.22,53.8,56.08,22500,0
20050830,55.84,55.85,53.93,54.64,24200,0
20050831,54.54,55.3,54.11,55.2,57800,0
20050901,55.36,56.43,55.01,56.25,34600,0
20050902,56.05,56.7,55.1,55.82,29300,0
20050906,56.27,57.7,55.76,57.35,65100,0
20050907,57.34,57.5,56.15,56.93,40000,0
20050908,56.6,56.6,55.14,55.48,59200,0
20050909,55.68,55.9,55,55.35,31500,0
20050912,55.1,55.45,54.51,55.13,50600,0
20050913,54.9,55.55,54.48,54.48,25600,0
20050914,54.7,54.87,53.02,54.08,60500,0
20050915,54.19,54.23,53.45,53.85,40100,0
20050916,54.15,54.19,52.8,52.85,127100,0
20050919,52.75,52.76,52.02,52.7,68200,0
20050920,52.74,52.74,51.43,52.28,71700,0
20050921,52.15,52.15,50.72,51.02,81500,0
20050922,50.76,52.25,50.25,52.06,299500,0
20050923,51.85,53.39,51.41,52.6,42600,0
20050926,53.59,55.36,53.55,54.22,63500,0
20050927,53.97,54.81,53.04,54.41,25300,0
20050928,54.5,54.93,53.31,54.49,43700,0
20050929,54.5,55.33,53.31,55.14,40300,0
20050930,55.2,55.2,53.91,54.99,30700,0
20051003,54.8,55.98,54.53,54.75,43400,0
20051004,54.8,56.25,54.6,55.06,40900,0
20051005,54.81,54.81,52.93,54.1,214500,0
20051006,53.87,54.75,53.12,53.95,37600,0
20051007,53.8,54.69,53.66,54.32,20400,0
20051010,54.32,55,53.66,53.88,36000,0
20051011,53.05,54.45,53.05,53.6,51000,0
20051012,53.04,54.1,51.96,53.89,41400,0
20051013,53.75,54.95,52.84,54.79,50000,0
20051014,55,55.65,54.09,55.65,29400,0
20051017,55.5,55.5,54.01,54.6,77200,0
20051018,54.7,54.7,53.76,54,36700,0
20051019,53.8,55.49,53.18,55.21,44900,0
20051020,55,55.5,53.78,54.47,42600,0
20051021,54.65,55.47,54.55,55.03,28300,0
20051024,55.23,56.09,54.86,56.09,31100,0
20051025,56,56,54.7,55.57,83500,0
20051026,55.34,57,54.82,55.88,81100,0
20051027,55.64,55.81,54.41,55.06,39400,0
20051028,55,56.02,54.68,55.69,29800,0
20051031,57.64,58.7,55.5,58.52,154500,0
20051101,57.55,57.97,55.32,57.26,62100,0
20051102,57.1,59.09,56.88,58.54,67200,0
20051103,58.54,59.51,58.54,59.51,111800,0
20051104,60,61.75,58.66,59.98,143200,0
20051107,59.98,60,59.41,59.5,123500,0
20051108,58.51,59.25,58.05,58.87,39900,0
20051109,58.99,59.97,58.52,59.64,65900,0
20051110,59.42,60,58.33,59.67,51900,0
20051111,59.2,60,59.05,59.82,25100,0
20051114,59,59.85,58.54,59.38,36400,0
20051115,58.9,59.94,58.03,59.37,24200,0
20051116,59.45,59.48,57.35,58.7,22800,0
20051117,58.7,59.49,58.7,59.24,18500,0
20051118,59.48,59.5,59.1,59.49,33000,0
20051121,59,59.5,58.58,59.49,41700,0
20051122,59.44,59.5,58.83,59.45,26800,0
20051123,59.21,59.5,58.91,59.2,13800,0
20051125,58.96,59.72,58.52,59.26,4100,0
20051128,59.1,59.3,57.8,57.8,44900,0
20051129,57.01,59.2,57.01,58.43,42400,0
20051130,58.63,59.08,58.33,58.42,40100,0
20051201,58.96,59.97,58.47,59.79,65200,0
20051202,59.58,59.95,59.47,59.83,34800,0
20051205,59.83,60.82,59.45,60.77,197100,0
20051206,60.6,61.68,60.6,61.19,91300,0
20051207,60.25,61.48,60.18,61.05,63100,0
20051208,61.05,61.79,61.01,61.27,35900,0
20051209,61.49,62,60.99,61.39,53800,0
20051212,61.3,61.8,61.04,61.5,51800,0
20051213,60,60.2,59.5,60.14,96700,0
20051214,60.14,60.8,60,60.35,26000,0
20051215,60.01,60.4,59.44,60.17,43800,0
20051216,61.95,66.9,61.62,66.9,291200,0
20051219,66.11,66.11,62.01,63.48,159500,0
20051220,63.65,64.29,62.92,63.29,48200,0
20051221,63.35,64.75,63.35,64.75,56100,0
20051222,66.4,66.81,65.01,65.79,115800,0
20051223,65.75,66,64.92,65,47200,0
20051227,64.9,65.63,64.73,65.19,127400,0
20051228,64.6,65.6,64.25,65.22,62200,0
20051229,64.52,66.45,64.51,66.3,89800,0
20051230,66.05,66.05,64.55,65.44,50700,0
20060103,64.7,65.98,64.3,65.45,86700,0
20060104,65.02,65.45,63.91,65.21,77700,0
20060105,65.1,65.88,64.6,65.4,90700,0
20060106,65.55,67.62,65.55,66.84,81500,0
20060109,66.45,68.23,66.43,67.66,72700,0
20060110,66.9,67.99,66.31,67.27,68300,0
20060111,66.05,68.04,66.02,68,106300,0
20060112,67.8,67.8,66.45,66.52,57400,0
20060113,66.5,67.99,66.26,67.6,34500,0
20060117,66.65,67.61,66.06,66.32,42000,0
20060118,66.1,66.94,65.26,66.49,39800,0
20060119,66.24,67,65.64,66.76,25900,0
20060120,66.99,67.19,65.51,65.85,30900,0
20060123,65.61,66.6,65.61,66.33,34500,0
20060124,66.6,68.08,66.17,68,30300,0
20060125,67.76,68.96,66.82,68.18,43200,0
20060126,67.08,67.73,66.1,66.25,74200,0
20060127,66.07,68.34,66,67.97,59300,0
20060130,67.5,67.88,66.31,66.88,58200,0
20060131,66.64,67.87,65.5,67.4,53500,0
20060201,67.3,67.87,67.02,67.66,57700,0
20060202,67,67,64.63,66.31,71600,0
20060203,66.15,66.56,65.18,66.1,20900,0
20060206,65.86,66.24,64.95,65.9,35600,0
20060207,65.4,67.31,65.4,65.68,26200,0
20060208,65.45,66.38,65.31,66.38,20300,0
20060209,66.13,67.12,65.7,65.75,19200,0
20060210,65.5,67.05,64.85,66.5,36700,0
20060213,66.5,66.5,65.16,65.31,101100,0
20060214,65.06,65.79,65,65.67,63500,0
20060215,65.42,65.92,65.21,65.57,59200,0
