Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.48,7.58,7.42,7.51,26600,0
20050228,7.45,7.54,7.4,7.48,13500,0
20050301,7.46,7.5,7.41,7.48,11800,0
20050302,7.45,7.5,7.4,7.41,22900,0
20050303,7.4,7.41,7.38,7.39,8700,0
20050304,7.38,7.46,7.32,7.46,14600,0
20050307,7.49,7.5,7.31,7.34,21500,0
20050308,7.4,7.4,7.15,7.17,14700,0
20050309,7.42,7.42,7.11,7.16,20300,0
20050310,7.11,7.4,6.99,7.35,47100,0
20050311,7.33,7.35,7.05,7.11,17700,0
20050314,7.05,7.05,6.71,6.75,27500,0
20050315,6.75,6.77,6.7,6.74,37100,0
20050316,6.75,6.75,6.36,6.49,34200,0
20050317,6.55,6.6,6.5,6.59,15700,0
20050318,6.6,6.6,6.21,6.27,62600,0
20050321,6.25,6.25,6.16,6.2,21000,0
20050322,6.1,6.59,5.95,6.45,85100,0
20050323,6.5,6.6,6.35,6.47,22300,0
20050324,6.46,6.64,6.46,6.59,27800,0
20050328,6.59,6.6,6.42,6.49,20400,0
20050329,6.59,6.6,6.29,6.3,45700,0
20050330,6.3,6.35,6.04,6.26,56700,0
20050331,6.3,6.36,6.22,6.3,25500,0
20050401,6.38,6.45,6.18,6.21,14900,0
20050404,6.15,6.16,6.02,6.02,20000,0
20050405,6.3,6.32,6.15,6.16,17400,0
20050406,6.13,6.26,6.13,6.16,34100,0
20050407,6.24,6.34,6.1,6.25,15900,0
20050408,6.23,6.25,6.1,6.11,7800,0
20050411,6,6.24,6,6.2,49300,0
20050412,6.1,6.3,6.09,6.25,35200,0
20050413,6.12,6.23,6.12,6.23,5300,0
20050414,6.17,6.25,6.11,6.11,3600,0
20050415,6.16,6.2,6,6,10600,0
20050418,6,6.16,6,6.14,31800,0
20050419,5.98,6.32,5.96,6.32,66600,0
20050420,6.28,6.28,6.11,6.14,39600,0
20050421,6.27,6.35,6.12,6.2,47900,0
20050422,6.2,6.3,6.09,6.24,42200,0
20050425,6.24,6.3,6.15,6.2,15100,0
20050426,6.2,6.31,6.18,6.21,10300,0
20050427,6.2,6.28,6.14,6.19,23100,0
