Date,Open,High,Low,Close,Volume,OpenInt
20160802,0.9,0.9,0.77,0.77,9925,0
20160803,0.75,0.75,0.63,0.63,17890,0
20160804,0.63,0.7,0.63,0.65,25400,0
20160805,0.7,0.72,0.6501,0.6501,19909,0
20160808,0.75,0.75,0.75,0.75,3500,0
20160809,0.72,0.85,0.7,0.76,14629,0
20160810,0.77,0.879,0.77,0.879,5000,0
20160811,0.73,0.74,0.7,0.7,27500,0
20160812,0.61,0.61,0.61,0.61,1300,0
20160815,0.6,0.6155,0.6,0.615,5050,0
20160816,0.61,0.61,0.59,0.6,11450,0
20160817,0.5308,0.5308,0.5108,0.5246,600,0
20160818,0.53,0.6,0.53,0.55,30000,0
20160819,0.5501,0.5501,0.55,0.55,3750,0
20160822,0.63,0.7,0.63,0.7,2001,0
20160823,0.64,0.64,0.58,0.64,7300,0
20160824,0.62,0.6555,0.55,0.62,19826,0
20160825,0.74,0.74,0.74,0.74,100,0
20160829,0.5829,0.89,0.5502,0.89,3100,0
20160831,0.75,0.75,0.6,0.7496,6000,0
20160901,0.7,0.7,0.7,0.7,100,0
20160902,0.6,0.63,0.5801,0.6,4600,0
20160906,0.5996,0.6,0.5899,0.5899,5536,0
20160907,0.6,0.6,0.595,0.5992,4200,0
20160908,0.6,0.67,0.59,0.67,7600,0
20160909,0.7,0.76,0.66,0.76,48718,0
20160914,0.8585,0.8585,0.8585,0.8585,100,0
20160915,0.805,0.805,0.805,0.805,100,0
20160916,0.9,0.93,0.89,0.9258,28995,0
20160920,0.75,0.85,0.75,0.85,4100,0
20160921,0.8,0.8,0.8,0.8,100,0
20160922,0.85,0.85,0.75,0.78,9000,0
20160926,0.8,0.8,0.8,0.8,177,0
20160927,0.85,0.85,0.75,0.7775,4900,0
20160928,0.8,0.81,0.75,0.81,1037,0
20160929,0.815,0.85,0.815,0.85,5200,0
20161006,0.84,0.84,0.84,0.84,100,0
20161007,0.85,0.85,0.85,0.85,100,0
20161010,0.77,0.77,0.76,0.76,2557,0
20161012,0.76,0.79,0.75,0.79,15300,0
20161013,0.8,0.8,0.71,0.71,1425,0
20161018,0.7,0.7,0.6921,0.7,1700,0
20161020,0.7,0.76,0.52,0.76,2173,0
20161021,0.65,0.65,0.6,0.6,3400,0
20161024,0.65,0.77,0.65,0.77,6734,0
20161026,0.77,0.77,0.77,0.77,100,0
20161027,0.78,0.78,0.78,0.78,100,0
20161102,0.78,0.78,0.78,0.78,100,0
20161103,0.77,0.77,0.77,0.77,100,0
20161104,0.5408,0.663,0.51,0.663,2450,0
20161107,0.76,0.76,0.76,0.76,100,0
20161109,0.76,0.78,0.76,0.78,7200,0
20161110,0.7649,0.7649,0.7649,0.7649,100,0
20161212,0.6,0.7,0.6,0.7,26100,0
20161228,0.52,0.52,0.52,0.52,100,0
20170105,0.65,0.65,0.65,0.65,769,0
20170106,0.61,0.61,0.61,0.61,100,0
20170109,0.64,0.64,0.64,0.64,500,0
20170111,0.25,0.65,0.25,0.65,1135,0
20170112,0.67,1.25,0.67,0.71,275685,0
20170113,0.85,0.85,0.605,0.65,8667,0
20170117,0.65,0.65,0.4,0.495,31270,0
20170118,0.5,0.5,0.4,0.4499,11077,0
20170119,0.42,0.42,0.39,0.3901,1300,0
20170120,0.38,0.38,0.38,0.38,100,0
20170123,0.4101,0.4102,0.4,0.4,4700,0
20170124,0.41,0.41,0.4,0.4,10400,0
20170125,0.41,0.46,0.41,0.46,20100,0
20170126,0.45,0.45,0.45,0.45,5200,0
20170127,0.45,0.45,0.45,0.45,2100,0
20170130,0.45,0.4501,0.45,0.45,2100,0
20170131,0.451,0.451,0.451,0.451,1100,0
20170201,0.5,0.56,0.451,0.56,5500,0
20170202,0.685,0.79,0.685,0.79,1200,0
20170203,0.79,0.79,0.74,0.74,350,0
20170206,0.7,0.7,0.7,0.7,100,0
20170207,0.74,0.74,0.74,0.74,1100,0
20170208,0.92,1.3,0.9,0.95,76752,0
20170209,1,1,0.663,0.89,24226,0
20170210,0.87,0.87,0.87,0.87,211,0
20170213,0.8499,0.8499,0.8,0.8,1500,0
20170214,0.95,1.16,0.95,1.07,68344,0
20170215,1.0001,1.1,0.92,1.05,39174,0
20170216,1.15,1.15,1.06,1.06,10700,0
20170217,1.02,1.02,1.02,1.02,100,0
20170221,1.2,1.45,1.11,1.12,32124,0
20170222,1.07,1.09,1.02,1.09,4701,0
20170223,1.05,1.05,1,1,11929,0
20170224,1.11,1.11,1.1097,1.1097,500,0
20170227,1.15,1.15,1.06,1.12,7570,0
20170228,1.21,1.25,1.18,1.18,3022,0
20170301,1.25,1.25,1.208,1.25,2875,0
20170302,1.25,1.29,1.22,1.29,3600,0
20170303,1.28,1.28,1.15,1.25,10600,0
20170306,1.23,1.23,1.23,1.23,100,0
20170307,1.2,1.2,1.2,1.2,4306,0
20170308,1.23,1.23,1.16,1.16,300,0
20170309,1.16,1.16,1.16,1.16,100,0
20170313,1.14,1.14,1.14,1.14,200,0
