Date,Open,High,Low,Close,Volume,OpenInt
20151119,11,11.99,9.72,10.1,7131400,0
20151120,10.5,10.65,10,10.15,630500,0
20151123,10.45,10.45,10,10.22,296000,0
20151124,10.05,10.4,10,10.21,117300,0
20151125,10.06,10.35,10.06,10.18,175900,0
20151127,10.18,10.3,10.06,10.07,46100,0
20151130,10.18,10.35,10,10.11,54800,0
20151201,10.1,10.77,10.06,10.46,421952,0
20151202,10.46,10.61,10.01,10.21,175334,0
20151203,10.11,10.32,9.26,9.6,650972,0
20151204,9.73,9.8,9.01,9.78,382900,0
20151207,9.75,10,9.7,9.78,145100,0
20151208,9.7,9.85,9.7,9.83,48912,0
20151209,9.75,10.14,9.5,9.74,308600,0
20151210,9.7,10.14,9.7,10.02,83500,0
20151211,10,10.74,10,10.42,124100,0
20151214,10.4,10.61,10,10,350635,0
20151215,10.45,10.45,10,10,145900,0
20151216,10.19,10.21,9.95,10.02,131600,0
20151217,10.5,10.5,10,10,243400,0
20151218,10.12,10.19,9.8,9.89,299800,0
20151221,9.95,10.1,9.84,9.89,61500,0
20151222,9.99,10.06,9.8,9.89,31343,0
20151223,9.89,9.94,9.7,9.85,84800,0
20151224,9.8,10,9.8,9.87,45731,0
20151228,9.82,9.95,9.6,9.61,31569,0
20151229,9.75,9.75,9.25,9.31,100144,0
20151230,9.3,9.72,9.3,9.64,63352,0
20151231,9.6,9.86,9.42,9.6,46010,0
20160104,9.43,9.6116,9,9.06,174171,0
20160105,9.08,9.2985,8.8,8.93,89702,0
20160106,8.86,9.07,8.83,9,45661,0
20160107,8.86,9.06,8.8,8.93,46612,0
20160108,8.94,9,8.6,8.6,49005,0
20160111,8.64,8.84,8.6,8.63,26188,0
20160112,8.62,8.66,8.29,8.55,20163,0
20160113,8.55,8.55,8.13,8.17,46815,0
20160114,8.19,8.49,8.01,8.29,38740,0
20160115,8.01,8.19,7.63,7.72,76351,0
20160119,7.8,8.35,7.66,7.72,96700,0
20160120,7.71,8.04,7.623,7.84,34638,0
20160121,7.9,8.03,7.6967,7.96,43672,0
20160122,8.05,8.05,7.81,7.95,192761,0
20160125,7.91,7.91,7.66,7.67,9359,0
20160126,7.71,7.71,6.77,6.91,115636,0
20160127,6.95,7.09,6.2,6.85,223406,0
20160128,6.75,7.0327,6.01,6.2,75385,0
20160129,6.3,7.75,6.3,7.5901,294294,0
20160201,7.56,9.425,7.15,9.21,243826,0
20160202,9.29,9.51,8.2,8.77,163635,0
20160203,8.82,10.15,8.82,10,455779,0
20160204,9.99,10.58,9.47,10.38,736972,0
20160205,10.29,10.59,9.139,10.35,869065,0
20160208,10.13,10.435,9.1101,10,708903,0
20160209,10.34,10.74,8.51,9.37,220783,0
20160210,9.42,9.95,9.07,9.39,344887,0
20160211,9.23,9.355,9.1,9.29,80776,0
20160212,9.36,9.52,9.15,9.51,177835,0
20160216,9.66,10,8.9401,9.59,184405,0
20160217,9.72,10,9.205,9.49,178230,0
20160218,9.49,10,9.4064,9.72,97305,0
20160219,9.68,9.91,9.18,9.56,46117,0
20160222,9.76,9.9025,8.9707,9.61,41985,0
20160223,9.53,9.83,9.01,9.24,95569,0
20160224,9.16,9.722,8.99,9.59,65714,0
20160225,9.55,9.7,9.36,9.52,39172,0
20160226,9.54,9.95,9.49,9.92,75641,0
20160229,9.89,9.89,9.32,9.36,49195,0
20160301,9.54,10.305,9.38,10.22,183684,0
20160302,10.15,11.1,10.03,10.73,159739,0
20160303,10.72,10.97,10.08,10.76,76499,0
20160304,10.79,10.9058,10.03,10.17,67682,0
20160307,10.19,10.19,9.4401,9.82,74977,0
20160308,9.72,10.65,8.82,9.85,101970,0
20160309,9.88,10.1,9.01,9.34,56334,0
20160310,9.42,9.66,8.32,8.66,183914,0
20160311,8.78,9.18,8.6372,8.91,24013,0
20160314,8.84,9.64,8.45,9.02,62753,0
20160315,8.93,10.15,8.93,9.75,413523,0
