Date,Open,High,Low,Close,Volume,OpenInt
20141024,13.02,13.11,13,13.05,16218,0
20141027,13.11,14.12,13.05,13.2,13940,0
20141028,13.25,13.6,13.12,13.12,12900,0
20141029,13.14,13.25,12.8,13.05,40111,0
20141030,13.08,13.22,13.04,13.12,76990,0
20141031,13.12,13.3,13.12,13.12,25814,0
20141103,13.14,13.25,13.12,13.15,59160,0
20141104,13.15,13.26,13,13.24,19102,0
20141105,13.16,13.28,13.14,13.16,9138,0
20141106,13.16,13.24,13.16,13.21,8195,0
20141107,13.156,13.18,13.1,13.17,7625,0
20141110,13.17,13.17,13.1,13.17,3827,0
20141111,13.15,13.17,13.15,13.15,7885,0
20141112,13.17,13.17,13.15,13.15,3108,0
20141114,13.15,13.15,13.14,13.15,8288,0
20141117,13.21,13.21,13.08,13.1,6674,0
20141118,13.07,13.18,13.06,13.18,13791,0
20141119,13.115,13.16,13.07,13.1,9219,0
20141120,13.14,13.14,13.07,13.07,3987,0
20141121,13.08,13.17,13.08,13.15,14761,0
20141124,13.214,13.214,13.1,13.15,11247,0
20141125,13.14,13.19,13.1,13.1,4453,0
20141126,13.1,13.2,13.1,13.11,5161,0
20141128,13.1,13.1,13.07,13.07,6171,0
20141201,13.15,13.15,13.05,13.14,6304,0
20141202,13.05,13.13,13.047,13.13,6965,0
20141203,13.1,13.1,13.1,13.1,100,0
20141204,13.1,13.1,13.09,13.09,200,0
20141205,13.13,13.13,13.003,13.1,3527,0
20141208,13.12,13.13,13.04,13.1,6153,0
20141209,13.1,13.25,13.08,13.25,23010,0
20141210,13.25,13.25,13.02,13.15,3699,0
20141211,13.08,13.15,13.01,13.04,7286,0
20141212,13.13,13.14,13.01,13.1,4110,0
20141215,13.02,13.14,13.01,13.12,4579,0
20141216,13.14,13.14,13.02,13.14,3929,0
20141217,13.14,13.25,13.14,13.17,6847,0
20141218,13.02,13.25,13.01,13.23,5536,0
20141219,13.23,13.25,12.75,12.75,38283,0
20141222,13.05,13.24,13,13.1,10254,0
20141223,13.02,13.24,13.01,13.01,1139,0
20141224,13.02,13.2,13.02,13.2,416,0
20141226,13.02,13.13,13.02,13.12,1009,0
20141229,13.05,13.05,13,13.05,9559,0
20141230,13.02,13.02,13,13.02,6738,0
20141231,13.25,13.25,13.04,13.24,1396,0
20150105,13.07,13.18,13.07,13.18,200,0
20150106,13.07,13.07,13,13.05,16800,0
20150107,13.05,13.15,13.03,13.07,5120,0
20150108,13.1,13.1,13.09,13.09,500,0
20150109,13.03,13.24,13.03,13.18,4500,0
20150112,13.07,13.19,13.07,13.19,11299,0
20150113,13.25,13.25,13.06,13.15,2627,0
20150114,13.06,13.15,13.06,13.15,1100,0
20150115,13.1,13.17,13.1,13.15,9020,0
20150116,13.1,13.1,13.06,13.07,776,0
20150120,13.17,13.17,13.1,13.1,6460,0
20150121,13.1,13.17,13.07,13.11,3400,0
20150122,13.05,13.1,13.05,13.1,542,0
20150123,13.07,13.15,13.06,13.08,6805,0
20150126,13.15,13.19,13.06,13.11,1900,0
20150127,13.15,13.19,13.07,13.19,9198,0
20150128,13.18,13.19,13.06,13.06,3101,0
