Date,Open,High,Low,Close,Volume,OpenInt
20170119,17.77,24.778,16.4,24.2,54872,0
20170120,22,24,19.36,23.29,115243,0
20170123,23.1,23.1,20.05,20.34,48022,0
20170124,19,19.94,14.78,15.18,81887,0
20170125,15.3,16.61,14.98,15.12,103908,0
20170126,15,15.1,14.3,14.66,77275,0
20170127,14.85,15.09,11.5,11.95,80030,0
20170130,11.54,14,11.54,13.07,29856,0
20170131,12.8,14.5399,12.8,13.8,56018,0
20170201,13.75,13.75,12.5245,12.61,34566,0
20170202,13,13,12.54,12.65,17379,0
20170203,12.97,13.78,12.61,13.15,29757,0
20170206,12.89,16.4,12.88,15.76,56012,0
20170207,16.5,17.4033,15.54,16.91,52437,0
20170208,18,18.4999,17.545,18.01,46158,0
20170209,18.55,18.81,17.15,17.55,34197,0
20170210,16.13,16.17,14.44,15.21,47397,0
20170213,16,16.032,15,15.01,23907,0
20170214,14,15.5,13.75,14.1,27421,0
20170215,15.25,18.5624,14.55,16.75,118396,0
20170216,18.25,18.25,15.27,15.49,44712,0
20170217,15.17,17.51,14.75,15.3,77027,0
20170221,15.28,16.26,15.25,15.26,62747,0
20170222,15.3,16.14,15,15.12,83664,0
20170223,15.4,15.94,14.75,14.75,41856,0
20170224,14.65,15.5,13.8,13.9,50731,0
20170227,13.94,14.48,13.75,14.2,28221,0
20170228,14.43,14.83,14.05,14.15,46156,0
20170301,14.51,15,14.2,14.65,26277,0
20170302,14.5,15.308,14.33,14.65,37384,0
20170303,14.5,15.2867,14.3,14.56,41681,0
20170306,14.33,15.47,13.68,13.98,93142,0
20170307,13.93,14.79,13.5,13.51,50216,0
20170308,13.5,14.19,13.17,13.78,46663,0
20170309,14.05,14.05,13.17,13.6,21122,0
20170310,13.5,14.1,13.19,13.31,40771,0
20170313,13.35,13.35,12.63,12.9,64623,0
20170314,12.84,13.03,12.13,12.26,23176,0
20170315,12.32,12.67,12.03,12.18,22530,0
20170316,12.07,12.7,12.02,12.02,28604,0
20170317,12.09,12.09,10.39,10.75,92126,0
20170320,10.7,10.82,10.1,10.73,46314,0
20170321,10.72,10.75,10.46,10.73,16694,0
20170322,10.65,11.49,10.1501,10.44,18089,0
20170323,10.15,10.7499,10.15,10.25,10737,0
20170324,10.5,10.8,10.16,10.39,15421,0
20170327,10.3399,10.6,10.15,10.58,30730,0
20170328,10.59,10.7,10.48,10.66,12580,0
20170329,10.69,10.7,10.22,10.41,15590,0
20170330,10.3542,10.72,10.22,10.72,6534,0
20170331,10.51,11.21,10.51,11.08,39862,0
20170403,11.3838,11.42,10.79,11.33,18412,0
20170404,11.115,11.35,10.83,10.87,18360,0
20170405,10.93,11.45,10.57,10.61,8897,0
20170406,10.575,10.98,10.51,10.95,26118,0
20170407,10.83,11.2472,10.65,10.84,3940,0
20170410,11.2172,11.2172,10.37,10.39,8798,0
20170411,10.47,10.9834,10.26,10.37,3571,0
20170412,10.2,10.2881,10,10.1,17030,0
20170413,10.09,10.149,9.8,9.8,13458,0
20170417,9.525,9.7,9.25,9.25,7397,0
20170418,9.21,9.36,8.35,8.9,44837,0
20170419,8.88,9.395,8.4,8.6,15664,0
20170420,8.65,9.0399,8.501,8.55,8633,0
20170421,8.53,8.9605,7.83,8.53,21524,0
20170424,8.46,8.46,8.13,8.21,6498,0
20170425,8.48,8.7014,8.05,8.32,21639,0
20170426,8.14,8.76,8.14,8.51,18222,0
20170427,8.58,8.72,8.45,8.51,5564,0
20170428,8.52,8.56,7.75,7.77,30700,0
20170501,7.75,7.97,7.45,7.9,21902,0
20170502,8.06,8.5641,7.96,8.21,8633,0
20170503,8.17,8.44,7.51,8.25,13788,0
20170504,8.1015,8.24,8.1,8.1,11859,0
20170505,8.13,8.77,8.12,8.27,16403,0
20170508,8.34,8.35,8.03,8.34,13236,0
20170509,7.57,8.28,7.57,7.99,32238,0
20170510,7.86,8.34,7.8501,8,11715,0
20170511,8.1128,8.349,7.91,7.98,10792,0
20170512,8.0001,8.3,8.0001,8.29,11868,0
20170515,8.3,8.75,8.0431,8.74,22374,0
20170516,9.07,9.07,8.4,8.68,3227,0
20170517,8.33,8.6212,8.33,8.46,5185,0
20170518,8.5,8.59,8.5,8.52,2273,0
20170519,8.2642,8.4799,8.2642,8.4,2754,0
20170522,8.255,8.465,8.205,8.33,4872,0
20170523,8.46,8.46,7.93,7.93,9576,0
20170524,7.99,8.1,7.9,8.1,10889,0
20170525,8.1,8.4,8.1,8.23,3695,0
20170526,8.24,8.38,7.995,8.03,4224,0
20170530,7.86,8.22,7.86,8.21,3557,0
20170531,7.86,8.22,7.86,8.22,15504,0
20170601,8.033,8.4,8.01,8.4,4680,0
20170602,8.1169,8.42,8.1169,8.38,8581,0
20170605,8.5399,8.54,8.42,8.43,3428,0
20170606,8.4961,8.53,8.42,8.44,8169,0
20170607,8.4794,8.48,8.42,8.43,5669,0
20170608,8.4786,8.53,8.4,8.43,13307,0
20170609,8.36,8.54,8.36,8.49,12373,0
20170612,8.4801,8.4801,8.23,8.23,14728,0
20170613,8.4101,8.4299,8.2301,8.33,4658,0
20170614,8.22,8.41,8.22,8.32,5602,0
20170615,8.32,8.32,8.05,8.29,5362,0
20170616,8.2438,8.38,7.84,7.86,24574,0
20170619,7.93,8.2209,7.93,8,9467,0
20170620,8.18,8.18,8.01,8.13,18520,0
20170621,8.18,8.34,8.01,8.14,27072,0
20170622,8.1331,8.15,8.1,8.13,6821,0
20170623,8.16,8.21,6.96,7.32,97073,0
20170626,7.45,7.55,7.22,7.24,52526,0
20170627,7.23,7.79,6.9,6.9,35140,0
20170628,6.92,7.61,6.92,7.49,29386,0
20170629,7.4595,7.69,7.26,7.36,5533,0
20170630,7.3675,7.97,7.3675,7.97,8689,0
20170703,7.97,8.24,7.8,7.9,7689,0
20170705,8.01,8.01,7.48,7.93,20978,0
20170706,7.96,7.96,7.3,7.47,28656,0
20170707,7.7015,7.7015,7.25,7.25,6727,0
20170710,7.3138,7.5499,7.17,7.17,22804,0
20170711,7.4,7.55,7.271,7.37,12503,0
20170712,7.5,7.6344,7.14,7.16,14182,0
20170713,7.17,7.5,7.17,7.39,16446,0
20170714,7.52,7.7192,7.25,7.26,14947,0
20170717,7.38,7.88,7.38,7.57,7439,0
20170718,7.8608,7.8608,7.26,7.26,10427,0
20170719,7.26,7.67,7.13,7.36,20686,0
20170720,7.64,7.73,7.12,7.17,43761,0
20170721,7.283,7.283,7.1001,7.23,1222,0
20170724,7.15,7.38,7.1279,7.27,10262,0
20170725,7.19,7.19,7.03,7.07,8470,0
20170726,7.1,7.2319,7.07,7.07,9649,0
20170727,7.1785,7.1785,6.85,6.87,6305,0
20170728,7.12,7.22,6.957,7.02,8746,0
20170731,7.08,7.1062,6.89,6.89,7010,0
20170801,6.87,7.0947,6.87,6.87,5008,0
