Date,Open,High,Low,Close,Volume,OpenInt
20161219,5,5,5,5,200,0
20161220,8,8,8,8,200,0
20170104,13.5,13.5,13.5,13.5,100,0
20170106,13.5,13.5,13.5,13.5,800,0
20170111,15,15,15,15,1100,0
20170113,14,14,14,14,150,0
20170119,9.5,9.5,9.5,9.5,100,0
20170120,11,11,11,11,200,0
20170125,11,11,11,11,500,0
20170127,11.25,11.25,11.25,11.25,385,0
20170130,11,11,11,11,385,0
20170131,10.75,10.75,10.75,10.75,100,0
20170201,8,8,8,8,5000,0
20170202,9,9,9,9,1000,0
20170203,9,9,9,9,910,0
20170206,10,10,10,10,790,0
20170208,9,9,9,9,1505,0
20170217,10.5,10.5,10.5,10.5,610,0
20170228,15,15,15,15,400,0
20170301,13.0001,13.0001,13.0001,13.0001,1000,0
20170302,13,13,13,13,575,0
20170306,13,13,13,13,100,0
20170309,13.25,13.25,13.25,13.25,200,0
20170310,13,13,13,13,200,0
20170316,13,13,13,13,1000,0
20170322,12.75,12.75,12.75,12.75,15600,0
20170330,12.5,12.5,12.5,12.5,400,0
20170405,12.5,12.5,12.5,12.5,500,0
20170505,13,13,13,13,500,0
20170508,13,13,13,13,1100,0
20170509,12,12,12,12,2000,0
20170510,11.35,11.35,11.35,11.35,1800,0
20170511,11,11,11,11,300,0
20170512,11,11,11,11,500,0
20170515,10.75,10.75,10.75,10.75,500,0
20170524,10.25,10.25,10.25,10.25,500,0
20170525,10.25,10.25,10.25,10.25,300,0
20170530,10,10,10,10,500,0
20170531,10.125,10.125,10.125,10.125,1100,0
20170601,10,10,10,10,1300,0
20170606,10,10,10,10,500,0
20170607,9.75,9.75,9.75,9.75,1800,0
20170609,9.8,9.8,9.8,9.8,200,0
20170613,10.5,10.5,10.5,10.5,300,0
20170614,9.75,9.75,9.75,9.75,1750,0
20170620,9.75,9.75,9.75,9.75,200,0
20170623,10,10,10,10,300,0
20170626,10,10.5,10,10,2500,0
20170627,10,10,9.8961,9.95,11280,0
20170628,10,10,9.9999,9.9999,13700,0
20170629,10,10,9.5,9.5,7605,0
20170630,9.9,10,9.9,9.95,14000,0
20170703,9.95,9.95,9.75,9.75,6145,0
20170705,10,10,10,10,5000,0
20170706,9.9,9.9,9.75,9.75,7000,0
20170707,9.75,9.75,9.75,9.75,5000,0
20170711,9.5846,9.6,9.5,9.5,5725,0
20170713,9.5,9.5,9.5,9.5,5000,0
20170714,9.4999,9.4999,9,9,825,0
20170717,9.1,9.1,9.1,9.1,150,0
20170718,9,9,8.95,9,1265,0
20170720,8.06,8.06,7.67,7.67,4850,0
20170721,8.39,9.25,7.59,9.25,6781,0
20170724,9.5,9.5,9.0001,9.0001,3033,0
20170725,9,9,8.6,8.6,2502,0
20170726,9.02,9.02,8.7942,9,1700,0
20170728,9.2,9.2,9.2,9.2,999,0
20170731,9.2,9.5,9.18,9.3,9314,0
20170801,9.4,9.4,9.3999,9.3999,1099,0
