Date,Open,High,Low,Close,Volume,OpenInt
20120425,4.11,4.34,4,4.2,499136,0
20120426,4.12,4.2,4.12,4.2,43093,0
20120427,4.2,4.28,4.17,4.28,30768,0
20120430,4.39,6.57,4.26,4.84,132069,0
20120501,5.5,5.5,4.91,5.2,62937,0
20120502,5.25,5.25,5,5.24,21778,0
20120503,5.37,8.16,5.24,6,123608,0
20120504,6.01,7.45,6.01,7.44,354754,0
20120507,8.22,9.75,7.81,9.39,461940,0
20120508,9.2,9.25,8.02,8.43,188581,0
20120509,8.29,8.35,7.3,7.46,98012,0
20120510,7.39,7.65,7.25,7.45,50643,0
20120511,7.45,8.63,7.45,7.86,41680,0
20120514,7.9,7.9,7.35,7.4,30931,0
20120515,7.84,7.89,7.25,7.46,19207,0
20120516,7.38,7.5,6.27,6.27,78497,0
20120517,6.32,6.32,5.51,5.75,68539,0
20120518,5.7,6.2,5.61,6.02,45233,0
20120521,6.07,6.54,6,6,48986,0
20120522,6.06,6.44,5.85,5.85,23193,0
20120523,6.07,6.42,5.5,5.52,42336,0
20120524,5.54,6.06,5.34,5.64,25314,0
20120525,5.65,5.75,5.33,5.44,16448,0
20120529,5.74,5.83,5.39,5.39,15675,0
20120530,5.38,5.45,5.25,5.45,10416,0
20120531,5.41,5.41,5.01,5.16,23277,0
20120601,5.16,5.16,4.9,4.94,29005,0
20120604,4.9,5.37,4.9,5.37,40241,0
20120605,5.54,6,5.24,5.54,43826,0
20120606,5.53,6.13,5.53,5.9,44277,0
20120607,5.99,6.4,5.99,6.17,28139,0
20120608,6.13,6.37,5.75,6.37,23293,0
20120611,6.34,6.93,5.76,6.39,5912,0
20120612,6.8,6.85,6.51,6.57,47462,0
20120613,6.52,6.7,6.02,6.46,29379,0
20120614,6.5,6.5,5.87,6.5,56047,0
20120615,6.38,6.71,5.89,5.89,12801,0
20120618,5.81,6.3,5.81,6.3,10728,0
20120619,6.3,6.7,6.2,6.58,68473,0
20120620,6.57,6.99,6.31,6.64,20639,0
20120621,6.6,6.65,6.12,6.19,16922,0
20120622,6.21,6.62,6.02,6.56,29238,0
20120625,6.42,6.65,6.32,6.57,9001,0
20120626,6.6,6.73,5.83,6.4,10197,0
20120627,6.36,6.39,6.02,6.37,7948,0
20120628,6.37,6.65,6.01,6.65,16329,0
20120629,6.85,6.8899,6.2032,6.78,8245,0
20120702,7,7,6.85,6.95,5414,0
20120703,6.9,6.9,6.501,6.888,2886,0
20120705,6.85,6.85,6.5,6.52,5159,0
20120706,6.71,6.84,6.11,6.24,21276,0
20120709,6.22,6.28,6.22,6.23,6523,0
