Date,Open,High,Low,Close,Volume,OpenInt
20160211,18.02,18.505,16.11,18.05,1116176,0
20160212,17.89,18.25,17.65,17.8,153140,0
20160216,17.4,18.44,17.4,18.26,65217,0
20160217,18.4,18.99,18.4,18.75,101679,0
20160218,18.98,19.02,18.5,18.54,53103,0
20160219,18.5,18.84,18.5,18.73,77424,0
20160222,18.98,19,18.5,18.5,72913,0
20160223,18.58,18.63,18.5,18.58,25298,0
20160224,18.5,18.77,18.12,18.77,29892,0
20160225,18.75,20.37,18.75,19.517,68876,0
20160226,20.01,20.01,19.25,19.49,104042,0
20160229,19.89,19.89,19.25,19.41,32832,0
20160301,19.2601,20.58,19.2601,20.13,108272,0
20160302,20.2,21.45,19.6,21.26,275051,0
20160303,21.15,23.42,20.81,23.23,181084,0
20160304,23.93,24.018,19.38,19.67,194705,0
20160307,19.8,21.5,18.7,20.87,194198,0
20160308,20.83,22.18,19.99,21.68,50621,0
20160309,22.3,22.46,20.13,21.33,112197,0
20160310,21.87,23.49,19.255,20.85,56019,0
20160311,20.7,21.93,20.35,21.15,55183,0
20160314,20.97,23.35,20.37,22.76,72584,0
20160315,22.56,23.3,20.487,22.84,50260,0
20160316,23.2,24.64,22.56,24.48,52741,0
20160317,24.67,25.46,21.12,23.16,90297,0
20160318,22.88,24.98,22.08,24.47,180782,0
20160321,24.4,27.2399,23.18,24.03,79043,0
20160322,23.82,25.37,23.6,24.23,82132,0
20160323,24.23,24.78,23.77,24.7,100097,0
20160324,24.69,27.5,24.49,27.41,75663,0
20160328,27.61,29.63,27.61,29.05,79434,0
20160329,28.8,29.19,27.88,28.64,74782,0
20160330,28.61,29.05,25.19,25.55,88905,0
20160331,25.15,28.42,23.61,27.24,489306,0
20160401,27.17,28.18,25.23,25.76,117165,0
20160404,25.97,28.44,25.61,28.17,81941,0
20160405,27.95,28,26.5701,27.31,54458,0
20160406,27.34,28,26.59,27.38,48602,0
20160407,27.18,27.26,24.53,25.65,81091,0
20160408,25.77,26.8999,24.01,24.98,38673,0
20160411,25.16,25.647,22.9,23.28,57306,0
20160412,24.39,24.39,22.54,22.89,34739,0
20160413,22.96,23.95,22.65,23.5,61298,0
20160414,23.55,24.46,23.3,24.2,83218,0
20160415,24.25,24.25,23.39,23.53,23011,0
20160418,23.59,24.04,23.55,23.7,17211,0
20160419,23.5,24.15,23.5,23.86,16774,0
20160420,23.92,23.96,22.18,22.27,47226,0
20160421,22.61,22.75,20.5101,22.2899,45721,0
20160422,22.38,23.03,22.17,23.02,24982,0
20160425,22.82,23.0095,22.58,22.71,30678,0
20160426,22.83,23.72,22.71,23.72,53800,0
20160427,23.57,23.57,21.77,23.07,42641,0
20160428,23.06,23.06,21.98,23,49004,0
20160429,23,25.49,22.85,25,77501,0
20160502,25.21,25.54,23.5,24.61,62997,0
20160503,24.18,24.5,23.25,23.68,37705,0
20160504,23.1,23.75,22.68,22.92,26857,0
20160505,22.97,22.97,22.5,22.6473,7435,0
20160506,22.585,25.75,21.42,25.33,107964,0
20160509,25.59,32.415,25.22,31.43,230413,0
20160510,31.2,36.39,31.2,36.1,175441,0
20160511,36.13,39.13,34.1491,36.46,164631,0
20160512,36.39,36.94,33.69,35.16,164097,0
20160513,35.04,35.93,33.72,33.74,72870,0
20160516,34.06,35.8,34.02,35.21,47110,0
20160517,35.01,36.7099,33.74,34.35,82658,0
20160518,34.22,35.43,34.08,34.73,51454,0
20160519,34.3,35.7799,34.3,34.68,50568,0
20160520,34.71,38.97,34.71,38.61,129963,0
20160523,38.91,44.49,38.9,44.27,265806,0
20160524,44.27,47.05,42.02,42.81,333109,0
20160525,42.91,43.15,39.83,42.79,251306,0
20160526,42.67,43.19,41.13,41.37,87400,0
20160527,41.72,42.79,41.31,42.79,58360,0
20160531,42.93,43.408,42.175,42.98,84707,0
20160601,42.98,45.98,42.12,45.78,203971,0
