Date,Open,High,Low,Close,Volume,OpenInt
20170317,14.9,14.9,14.31,14.45,132841,0
20170320,14.73,14.73,14.25,14.49,159553,0
20170321,14.55,14.6499,14.4,14.4,92980,0
20170322,14.45,14.67,14.3,14.51,180251,0
20170323,14.51,14.6,14.36,14.39,129557,0
20170324,14.33,14.55,14.32,14.41,113613,0
20170327,14.3286,14.54,14.3286,14.53,58980,0
20170328,14.51,14.59,14.4198,14.53,56324,0
20170329,14.46,14.59,14.4,14.52,53306,0
20170330,14.52,14.75,14.5,14.69,164085,0
20170331,14.75,14.93,14.68,14.93,104121,0
20170403,14.8401,15.75,14.82,15.25,62942,0
20170404,15.49,15.7,15.1,15.36,46939,0
20170405,15.42,15.49,15.16,15.34,25629,0
20170406,15.39,15.4,15.2271,15.28,32844,0
20170407,15.452,15.452,15.2,15.4,19317,0
20170410,15.3,15.7,15.29,15.69,19316,0
20170411,15.6,16.3,15.6,15.93,64846,0
20170412,15.99,15.99,15.4,15.47,17934,0
20170413,15.45,15.75,15.2601,15.74,26173,0
20170417,15.75,15.75,15.5,15.7,22766,0
20170418,15.75,16,15,15.82,43019,0
20170419,15.99,15.99,15.52,15.53,8327,0
20170420,15.85,15.85,15.13,15.34,37300,0
20170421,15.35,15.65,15.35,15.59,54058,0
20170424,15.65,15.65,15.4501,15.64,10808,0
20170425,15.65,15.99,15.5936,15.91,22523,0
20170426,15.87,16.04,15.36,15.72,13266,0
20170427,15.6,15.88,15.43,15.77,33336,0
20170428,15.78,15.89,15.605,15.71,11181,0
20170501,15.6037,15.78,15.5,15.55,8052,0
20170502,15.5,15.71,15.4,15.4,3965,0
20170503,15.69,15.73,15.4001,15.73,6504,0
20170504,15.52,15.7499,15.07,15.58,37061,0
20170505,15.72,15.75,15.57,15.72,6931,0
20170508,15.73,15.9528,15.32,15.82,14358,0
20170509,15.76,16,15.6244,16,21494,0
20170510,15.73,15.905,15.71,15.75,12952,0
20170511,15.57,16.29,15.5,16.05,29519,0
20170512,16.05,16.05,15.7,15.85,10804,0
20170515,15.75,16.05,15.75,15.96,14495,0
20170516,16.03,16.25,16,16.24,35724,0
20170517,16.21,16.21,15.92,15.99,19004,0
20170518,15.99,16.17,15.91,16.17,32452,0
20170519,16.28,16.35,16.06,16.1,20807,0
20170522,16.34,16.83,16.17,16.65,10790,0
20170523,16.67,16.79,16.55,16.56,16171,0
20170524,16.68,16.86,16.35,16.51,45090,0
20170525,16.89,16.9,16.68,16.77,39334,0
20170526,16.77,17.05,16.655,16.97,43691,0
20170530,17.02,17.4,16.97,17.26,171461,0
20170531,17.23,17.45,16.95,17.45,36973,0
20170601,17.49,18.79,17.47,18.5,73933,0
20170602,18.35,18.4,17.43,18.23,35511,0
20170605,18.19,18.5,17.96,18.5,89896,0
20170606,18.5,18.67,18.26,18.67,83391,0
20170607,18.55,18.74,18,18.73,89421,0
20170608,18.79,18.8,18.32,18.51,37051,0
20170609,18.5,18.52,17.89,18.44,33211,0
20170612,18.5,18.8,18.13,18.43,68888,0
20170613,18.5,18.6,18.15,18.47,214652,0
20170614,18.25,18.5,17.99,18.45,75101,0
20170615,18.44,18.65,18.195,18.47,106194,0
20170616,18.49,18.57,17.98,18.33,599326,0
20170619,18.06,18.5,18.04,18.12,222631,0
20170620,18.01,18.13,17.55,17.58,154385,0
20170621,17.59,18,17.52,17.96,40232,0
20170622,17.99,17.99,17.25,17.31,53293,0
20170623,17.2,17.24,16.58,17.15,1231252,0
20170626,17,17.86,16.83,17.79,54433,0
20170627,17.68,18.06,17.68,18,45501,0
20170628,17.655,18.19,17.52,18,39856,0
20170629,17.88,18,17.52,17.98,18467,0
20170630,17.3674,18.12,17.3674,17.88,15988,0
20170703,17.77,17.99,17.57,17.81,17007,0
20170705,17.68,17.86,17.345,17.85,10209,0
20170706,17.63,17.81,17.42,17.62,12778,0
20170707,17.49,17.99,17.47,17.93,12912,0
20170710,17.81,18.04,17.65,17.94,71098,0
20170711,17.95,18,17.86,17.97,10269,0
20170712,17.61,18.14,17.61,17.99,34421,0
20170713,17.95,18,17.2901,17.62,17442,0
20170714,17.66,17.92,17.13,17.28,9943,0
20170717,17.27,17.51,17.1,17.37,25582,0
20170718,17.19,17.97,17.19,17.72,15149,0
20170719,17.31,18.05,17.31,17.98,22924,0
20170720,17.93,18.15,17.825,18,22410,0
20170721,18.15,18.2,17.93,17.97,15300,0
20170724,17.99,18.06,17.9,17.96,12834,0
20170725,17.93,18.09,17.93,17.99,21961,0
20170726,18.04,18.04,17.94,17.94,2689,0
20170727,17.97,17.97,17.87,17.87,6708,0
20170728,17.85,18,17.85,17.99,15127,0
20170731,17.6,18.06,17.6,17.98,6763,0
20170801,18,18.18,17.55,18,37402,0
