Date,Open,High,Low,Close,Volume,OpenInt
20141105,0.35,0.35,0.35,0.35,10100,0
20141110,0.35,0.35,0.35,0.35,4100,0
20141117,0.45,0.45,0.45,0.45,2500,0
20141118,0.26,0.26,0.2,0.2,23100,0
20141119,0.45,0.45,0.38,0.38,1600,0
20141120,0.3,0.3,0.3,0.3,350,0
20141121,0.25,0.25,0.2499,0.25,15100,0
20141124,0.35,0.35,0.2499,0.2499,9820,0
20141125,0.2333,0.2333,0.23,0.23,10500,0
20141201,0.249,0.249,0.249,0.249,3300,0
20141202,0.25,0.25,0.25,0.25,3000,0
20141204,0.2,0.2,0.2,0.2,6350,0
20141210,0.24,0.24,0.24,0.24,5000,0
20141211,0.24,0.24,0.24,0.24,50000,0
20141215,0.24,0.24,0.24,0.24,9500,0
20141216,0.24,0.24,0.24,0.24,5000,0
20141222,0.25,0.25,0.25,0.25,1000,0
20141224,0.24,0.24,0.24,0.24,3150,0
20150218,0.2399,0.24,0.2399,0.24,700,0
20150226,0.29,0.29,0.29,0.29,100,0
20150312,0.27,0.27,0.27,0.27,3000,0
20150320,0.45,0.45,0.45,0.45,10000,0
20150330,0.27,0.27,0.27,0.27,500,0
20150331,0.45,0.45,0.45,0.45,100,0
20150417,0.3,0.3,0.3,0.3,5000,0
20150420,0.2999,0.3,0.2999,0.3,6100,0
20150424,0.34,0.34,0.34,0.34,800,0
20150427,0.2,0.2,0.2,0.2,5000,0
20150428,0.25,0.25,0.25,0.25,5000,0
20150429,0.29,0.45,0.29,0.45,35500,0
20150430,0.45,0.6,0.4,0.46,15300,0
20150501,0.41,0.41,0.41,0.41,500,0
20150504,0.42,0.42,0.42,0.42,5200,0
20150505,0.48,0.5,0.48,0.5,22300,0
20150506,0.45,0.45,0.45,0.45,158,0
20150511,0.35,0.35,0.35,0.35,4500,0
20150519,0.41,0.41,0.38,0.38,17500,0
20150520,0.41,0.42,0.41,0.42,6400,0
20150521,0.43,0.44,0.43,0.43,52600,0
20150522,0.43,0.43,0.38,0.41,393100,0
20150526,0.3999,0.4,0.3999,0.4,14509,0
20150527,0.4,0.4,0.38,0.38,117500,0
20150529,0.4,0.4,0.4,0.4,105300,0
20150601,0.4,0.4,0.4,0.4,1500,0
20150602,0.4,0.4,0.4,0.4,22920,0
20150605,0.4,0.4,0.4,0.4,20000,0
20150609,0.4,0.4,0.4,0.4,11800,0
20150615,0.44,0.44,0.38,0.38,7100,0
20150616,0.38,0.38,0.38,0.38,1000,0
20150617,0.38,0.38,0.38,0.38,4000,0
20150622,0.4,0.4,0.35,0.35,19300,0
20150630,0.35,0.35,0.35,0.35,11083,0
20150702,0.35,0.35,0.35,0.35,1000,0
20150707,0.32,0.35,0.32,0.35,15000,0
20150708,0.26,0.35,0.26,0.35,5000,0
20150710,0.35,0.35,0.3,0.3,27000,0
20150713,0.3,0.3,0.3,0.3,1200,0
20150714,0.3,0.3,0.26,0.2784,71500,0
20150715,0.3,0.3,0.3,0.3,2500,0
20150716,0.28,0.28,0.28,0.28,15900,0
20150717,0.28,0.29,0.28,0.28,10700,0
20150721,0.26,0.26,0.26,0.26,50000,0
20150722,0.24,0.24,0.24,0.24,100,0
20150723,0.23,0.23,0.23,0.23,100,0
20150727,0.14,0.3,0.14,0.3,2200,0
20150728,0.38,0.38,0.38,0.38,300,0
20150729,0.34,0.34,0.34,0.34,300,0
20150804,0.34,0.34,0.25,0.25,15100,0
20150811,0.252,0.252,0.252,0.252,3004,0
20150814,0.27,0.27,0.27,0.27,19800,0
20150901,0.25,0.25,0.25,0.25,200,0
20150914,0.34,0.34,0.26,0.26,5100,0
20150916,0.22,0.22,0.22,0.22,100,0
20150917,0.23,0.23,0.23,0.23,200,0
20150918,0.25,0.25,0.23,0.23,7400,0
20150921,0.31,0.31,0.31,0.31,200,0
20150924,0.3,0.31,0.29,0.31,8300,0
20150925,0.31,0.31,0.31,0.31,16700,0
20150928,0.2502,0.2502,0.2502,0.2502,11401,0
20150929,0.24,0.25,0.24,0.25,1100,0
20151001,0.26,0.26,0.26,0.26,1900,0
20151002,0.17,0.21,0.17,0.21,500,0
20151007,0.21,0.22,0.21,0.21,5500,0
20151012,0.212,0.212,0.19,0.212,15200,0
20151014,0.22,0.22,0.22,0.22,12900,0
20151019,0.23,0.23,0.19,0.19,17100,0
20151020,0.2,0.23,0.1902,0.1902,29000,0
20151021,0.2,0.22,0.2,0.22,5000,0
20151022,0.21,0.21,0.21,0.21,200,0
20151026,0.21,0.21,0.21,0.21,12100,0
20151027,0.2,0.23,0.2,0.23,36300,0
20151028,0.21,0.23,0.2,0.2,48100,0
20151030,0.21,0.21,0.2,0.2,80100,0
20151102,0.19,0.19,0.19,0.19,20000,0
20151104,0.2,0.205,0.2,0.2,26727,0
20151105,0.21,0.21,0.21,0.21,300,0
20151106,0.21,0.21,0.21,0.21,300,0
20151109,0.21,0.22,0.181,0.22,25046,0
20151110,0.18,0.19,0.18,0.19,1900,0
20151112,0.19,0.19,0.16,0.16,50600,0
20151113,0.19,0.19,0.19,0.19,100,0
20151116,0.19,0.19,0.19,0.19,100,0
20151119,0.21,0.21,0.17,0.17,3200,0
20151123,0.21,0.21,0.15,0.15,60400,0
20151125,0.19,0.19,0.19,0.19,200,0
20151202,0.12,0.19,0.12,0.15,218566,0
20151208,0.1299,0.1299,0.122,0.122,50200,0
20151210,0.12,0.12,0.11,0.11,33500,0
20151216,0.1,0.1,0.1,0.1,145000,0
20151217,0.08,0.08,0.08,0.08,4900,0
20151218,0.06,0.08,0.06,0.08,24000,0
20151222,0.104,0.1216,0.104,0.12,25100,0
20151223,0.13,0.13,0.1,0.1,133800,0
20151224,0.13,0.1316,0.13,0.13,13122,0
20151228,0.14,0.1999,0.14,0.19,12800,0
20151229,0.19,0.19,0.1899,0.19,1310,0
20151230,0.1899,0.19,0.1899,0.19,614,0
20151231,0.133,0.18,0.1,0.18,11802,0
20160104,0.1,0.1001,0.1,0.1001,601,0
20160105,0.14,0.14,0.14,0.14,100,0
20160106,0.12,0.12,0.1016,0.1016,4832,0
20160107,0.1,0.1016,0.1,0.1016,11300,0
20160108,0.1,0.1,0.1,0.1,1600,0
20160112,0.1399,0.1399,0.1,0.1,980,0
20160113,0.1,0.1,0.1,0.1,287,0
20160115,0.1,0.1,0.1,0.1,51741,0
20160119,0.1,0.1,0.1,0.1,66100,0
20160125,0.1001,0.1001,0.09,0.09,72499,0
20160128,0.1,0.1,0.061,0.0844,1178942,0
20160129,0.108,0.108,0.0701,0.108,1100,0
20160201,0.0999,0.0999,0.07,0.07,43800,0
20160202,0.071,0.071,0.071,0.071,200,0
20160208,0.0801,0.0801,0.0801,0.0801,280,0
20160219,0.0666,0.0801,0.0666,0.0801,900,0
20160223,0.08,0.08,0.08,0.08,800,0
20160224,0.0668,0.0668,0.0668,0.0668,868,0
20160225,0.12,0.12,0.12,0.12,100,0
20160226,0.12,0.12,0.12,0.12,500,0
20160229,0.1198,0.1198,0.1198,0.1198,159,0
20160303,0.0701,0.0701,0.0701,0.0701,500,0
20160307,0.08,0.08,0.08,0.08,100,0
20160308,0.084,0.084,0.084,0.084,500,0
20160311,0.0882,0.0882,0.0882,0.0882,100,0
20160314,0.0666,0.0666,0.0666,0.0666,100,0
20160315,0.0671,0.0671,0.0671,0.0671,300,0
20160324,0.09,0.117,0.09,0.09,7100,0
20160328,0.0697,0.0697,0.0697,0.0697,201,0
20160329,0.09,0.09,0.08,0.08,31200,0
20160330,0.09,0.118,0.09,0.115,107900,0
20160331,0.1,0.1,0.0999,0.0999,233,0
20160412,0.0999,0.1,0.0999,0.1,55093,0
20160418,0.1,0.1,0.0999,0.1,80047,0
20160419,0.1,0.1,0.1,0.1,45000,0
20160422,0.1,0.1,0.0999,0.1,149397,0
20160425,0.1,0.1,0.1,0.1,4182,0
20160426,0.1,0.1,0.081,0.09,22150,0
20160427,0.081,0.09,0.08,0.08,34761,0
20160505,0.09,0.09,0.08,0.08,55100,0
20160519,0.07,0.07,0.07,0.07,2000,0
20160520,0.066,0.07,0.066,0.066,19800,0
20160524,0.07,0.0735,0.07,0.0735,11000,0
20160525,0.06,0.0601,0.06,0.0601,23000,0
20160526,0.0631,0.08,0.0631,0.075,9061,0
20160527,0.0795,0.0795,0.07,0.07,2208,0
20160602,0.08,0.08,0.05,0.07,1100,0
20160603,0.03,0.03,0.03,0.03,500,0
20160607,0.0698,0.07,0.04,0.0401,15500,0
20160608,0.042,0.06,0.04,0.06,17729,0
20160609,0.042,0.08,0.042,0.0662,83174,0
20160613,0.065,0.065,0.065,0.065,1356,0
20160614,0.06,0.06,0.0501,0.0501,39865,0
20160615,0.05,0.05,0.05,0.05,104,0
20160617,0.065,0.07,0.065,0.066,14120,0
20160622,0.07,0.07,0.07,0.07,862,0
20160623,0.066,0.07,0.066,0.07,10200,0
20160627,0.07,0.07,0.07,0.07,200,0
20160701,0.075,0.075,0.07,0.07,10000,0
20160705,0.066,0.066,0.066,0.066,7055,0
20160706,0.0648,0.0648,0.0648,0.0648,100,0
20160707,0.0647,0.0647,0.0647,0.0647,700,0
20160708,0.065,0.065,0.064,0.065,2135,0
20160711,0.065,0.065,0.065,0.065,512,0
20160713,0.0633,0.0633,0.0633,0.0633,225,0
20160714,0.062,0.065,0.062,0.065,5599,0
20160715,0.07,0.1367,0.07,0.1,290402,0
20160718,0.146,0.146,0.102,0.102,84587,0
20160719,0.1025,0.103,0.06,0.1025,95289,0
20160720,0.1,0.11,0.0891,0.1,166654,0
20160721,0.1,0.1,0.07,0.0797,17039,0
20160722,0.08,0.0845,0.0626,0.084,321800,0
20160725,0.0882,0.0907,0.07,0.082,26797,0
20160726,0.08,0.08,0.0769,0.0772,22806,0
20160727,0.071,0.08,0.071,0.0745,7494,0
20160728,0.071,0.0788,0.071,0.0717,40140,0
20160729,0.08,0.08,0.0715,0.0749,9770,0
20160801,0.0717,0.075,0.0715,0.075,47374,0
20160802,0.075,0.075,0.0615,0.0615,17484,0
20160803,0.0645,0.0645,0.0551,0.062,33768,0
20160804,0.062,0.062,0.055,0.055,43683,0
20160805,0.055,0.0584,0.0501,0.0526,42383,0
20160808,0.06,0.065,0.0455,0.0596,164789,0
20160809,0.06,0.06,0.054,0.0541,2127,0
20160810,0.06,0.06,0.0455,0.05,53192,0
20160811,0.06,0.06,0.0525,0.0551,62046,0
20160812,0.0489,0.06,0.0489,0.06,5362,0
20160815,0.06,0.06,0.05,0.058,3246,0
20160816,0.058,0.06,0.0532,0.0532,357847,0
20160817,0.055,0.0599,0.0456,0.055,33859,0
20160818,0.0557,0.0557,0.0501,0.0501,2704,0
20160819,0.0512,0.0525,0.05,0.05,202487,0
20160822,0.05,0.05,0.0478,0.0478,12029,0
20160823,0.05,0.05,0.0442,0.0442,11648,0
20160824,0.0445,0.0445,0.04,0.0408,17032,0
20160825,0.0411,0.0411,0.0183,0.04,9154,0
20160826,0.04,0.042,0.0291,0.0291,4941,0
20160829,0.0378,0.05,0.0378,0.05,12217,0
20160830,0.05,0.05,0.0458,0.0496,45282,0
