Date,Open,High,Low,Close,Volume,OpenInt
20130108,27,27,27,27,20,0
20130110,25,25,25,25,190,0
20130111,24.5,27,23.5,26.967,3880,0
20130114,24.2,29.9,24.2,26.5,3040,0
20130115,26,26.6,24.3,26.6,4210,0
20130116,26.6,26.6,25.037,25.2,1580,0
20130117,25,26.4,24.6,25,1490,0
20130118,25,26.4,24.5,24.5,658,0
20130122,24.5,26.44,24.5,24.5,561,0
20130123,26.3,26.3,24.6,24.6,320,0
20130124,24.9,26.392,24.7,26,440,0
20130125,24.9,26.5,24.5,24.8,1860,0
20130128,24.5,26.5,22.1,26.5,27494,0
20130129,26.5,26.5,25,25,4319,0
20130130,25,26,25,26,550,0
20130131,25.5,26.5,25,26,1180,0
20130201,25.7,26.9,25,25.9,5210,0
20130204,26,26.6,26,26.481,550,0
20130205,25.8,25.8,25.5,25.6,690,0
20130206,25.6,25.6,25.1,25.1,260,0
20130207,25.1,25.1,25,25,460,0
20130208,25,25.8,25,25.3,1369,0
20130211,25.9,25.9,25,25.1,604,0
20130212,25.2,25.6,25,25,530,0
20130213,25.5,25.5,24.6,24.6,2430,0
20130214,25.4,25.4,25,25,540,0
20130215,25.8,26,24.9,25.2,2272,0
20130219,25,25.299,25,25,550,0
20130220,25.2,25.2,20,22.2,65274,0
20130221,22.5,23.963,22.314,23,6918,0
20130222,23.6,23.6,23,23.3,560,0
20130225,23.001,23.399,22.6,22.601,2986,0
20130226,23.2,23.4,22.7,22.8,4512,0
20130227,23.4,23.7,23,23.6,2910,0
20130228,23,23.6,22.8,22.8,810,0
20130301,23,23,22.7,22.7,260,0
20130304,23.1,23.4,22.7,22.7,1920,0
20130305,23,23.2,22.8,22.8,632,0
20130306,22.7,23,22.7,22.8,1555,0
20130307,22.6,23.4,22.6,23.4,1290,0
20130308,23.4,23.8,22.9,23.21,3405,0
20130311,23.8,23.8,23.8,23.8,77,0
20130312,23.6,23.6,22.6,22.6,251,0
20130313,22.6,23.2,22.6,22.7,280,0
20130314,22.5,24.9,22.3,24,11821,0
20130315,25.5,25.5,23.6,24.4,1659,0
20130318,24,24.8,24,24.001,773,0
20130319,31.5,31.5,19.7,21.2,31959,0
20130320,21.4,21.7,21.4,21.5,6006,0
20130321,21,21.001,20,21,1673,0
20130322,20.2,21.4,20,21.2,5140,0
20130325,21,21.7,20,21.48,1924,0
20130326,20.9,21.3,20.9,21.3,4992,0
20130327,21,21.4,21,21.3,1796,0
20130328,21.6,21.7,20.5,21.3,2060,0
20130401,21.3,22.2,21.3,22.2,4310,0
20130402,21.8,21.8,21.3,21.5,4230,0
20130403,22.5,22.7,20.8,21.8,8762,0
20130404,21.8,21.9,21.8,21.8,11880,0
20130405,21.9,22,21.7,22,3538,0
20130408,22.8,22.8,21.5,22,2097,0
20130409,22,22.5,21.501,22.5,4914,0
20130410,21.6,23,21.5,22.9,5467,0
20130411,23.2,24.8,23.2,24,3321,0
20130412,23.6,24,23,23.6,3437,0
20130415,23,23.9,23,23.9,1029,0
20130416,22.5,22.5,22,22.1,596,0
20130417,22.3,22.5,22,22.5,2741,0
20130418,22.1,22.2,22,22.2,1243,0
20130419,22.1,22.2,21.5,22.2,1033,0
20130422,22.7,23.7,22.7,23.2,1000,0
20130423,22.7,23.2,22.6,23.2,2120,0
20130424,22.6,23.7,22.5,22.5,1080,0
20130425,23.6,23.6,22.5,22.5,510,0
20130426,22.7,24,22.5,23.6,2218,0
20130429,23.1,23.9,22.101,23.9,2526,0
20130430,24,24,23,23.6,2560,0
20130501,23.8,23.8,23.7,23.7,864,0
20130502,23.8,24.4,23.8,24.4,3480,0
20130503,24.4,25.1,24.2,24.8,1742,0
20130506,25.1,25.3,25.1,25.1,640,0
20130507,25.1,25.11,25.1,25.1,1560,0
20130508,24.3,25.2,24.1,25.2,2260,0
20130509,25.1,25.3,25,25.1,2090,0
20130510,24.4,25.2,24,25.2,1614,0
20130513,24.9,25.2,24.9,25.2,1057,0
20130514,25.2,25.9,25.2,25.6,2549,0
20130515,27.4,27.4,25.8,26.8,1375,0
20130516,25.6,26,25.6,26,430,0
20130517,26,26.68,25.4,26,440,0
20130520,26.1,26.1,26.1,26.1,140,0
20130521,26.6,26.7,26,26.7,1317,0
20130522,26.5,26.7,24.5,25,4922,0
20130523,24.3,25.601,23.5,25.6,5095,0
20130528,25.2,26.4,25.2,26.4,6210,0
20130529,26.2,26.6,26.2,26.6,2995,0
20130530,26.6,27.3,26.4,27,2067,0
20130531,26.8,27,25.3,25.4,1380,0
20130603,26,26.8,24.7,26.5,2990,0
20130604,26.1,27,25.1,27,900,0
20130605,27,27,26.6,26.612,173,0
20130606,26.9,27.11,26.7,27.11,1050,0
20130607,26.2,26.2,26.2,26.2,30,0
20130610,26.2,26.7,26,26.7,1536,0
20130611,27,27.6,26.7,27.5,2284,0
20130612,27.5,27.6,27.3,27.5,1290,0
20130613,27.5,28.3,26,26.9,4468,0
20130614,26.9,27,25.7,26.5,1090,0
